old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1231,0.1110,0.0607,0.0630,0.0895
2+14,0.1060,0.1192,0.0582,0.0748,0.0895
3+13,0.1094,0.0963,0.0676,0.0752,0.0871
4+12,0.1293,0.1261,0.0707,0.0778,0.1010
5+11,0.1187,0.1114,0.0660,0.0786,0.0937
6+10,0.1147,0.1271,0.0699,0.0810,0.0982
7+9,0.1035,0.1124,0.0666,0.0749,0.0893
8+8,0.1095,0.1242,0.0746,0.0755,0.0960
9+7,0.1213,0.1217,0.0804,0.0979,0.1054
10+6,0.1251,0.1170,0.0799,0.0921,0.1035
11+5,0.1293,0.1333,0.0825,0.0799,0.1063
12+4,0.1445,0.1233,0.0850,0.0900,0.1107
13+3,0.1277,0.1303,0.0877,0.0915,0.1093
14+2,0.1275,0.1263,0.0822,0.0872,0.1058
avg,0.1207,0.1200,0.0737,0.0814,0.0989
