new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1371,0.1212,0.0845,0.0860,0.1072
14yr,0.1488,0.1271,0.0811,0.0930,0.1125
13yr,0.1707,0.1798,0.0843,0.1058,0.1352
12yr,0.1627,0.1682,0.0921,0.1176,0.1352
11yr,0.1523,0.1406,0.0938,0.1127,0.1249
10yr,0.1514,0.1788,0.0892,0.1147,0.1335
9yr,0.1522,0.1991,0.0843,0.1114,0.1367
8yr,0.2007,0.1441,0.0946,0.1032,0.1357
7yr,0.2009,0.1816,0.0979,0.1236,0.1510
6yr,0.1593,0.1531,0.0896,0.1083,0.1276
5yr,0.2318,0.2280,0.0944,0.1182,0.1681
4yr,0.2311,0.1657,0.1042,0.1255,0.1566
3yr,0.1966,0.1498,0.1244,0.1269,0.1494
2yr,0.1480,0.1851,0.1072,0.1375,0.1445
1yr,0.1274,0.3135,0.1020,0.1716,0.1786
avg,0.1714,0.1757,0.0949,0.1171,0.1398
