old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.4634,0.4634,0.4843,0.6028,0.5035
2+14,0.4495,0.4355,0.5401,0.4146,0.4599
3+13,0.5122,0.5749,0.4774,0.4564,0.5052
4+12,0.4181,0.4495,0.4077,0.4634,0.4347
5+11,0.5052,0.5192,0.4774,0.4564,0.4895
6+10,0.5087,0.4669,0.5157,0.5017,0.4983
7+9,0.5645,0.5226,0.5819,0.5958,0.5662
8+8,0.5714,0.5540,0.4495,0.5819,0.5392
9+7,0.4878,0.5331,0.4599,0.4948,0.4939
10+6,0.5575,0.5714,0.5436,0.4983,0.5427
11+5,0.5679,0.5226,0.5679,0.6690,0.5819
12+4,0.4948,0.5436,0.5296,0.5958,0.5409
13+3,0.5749,0.5366,0.4181,0.5923,0.5305
14+2,0.5540,0.5854,0.5470,0.6098,0.5740
15+1,0.6063,0.5784,0.5401,0.5714,0.5740
avg,0.5224,0.5238,0.5027,0.5403,0.5223
