new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4634,0.5157,0.4077,0.5366,0.4808
14yr,0.5087,0.5610,0.4739,0.4983,0.5105
13yr,0.4704,0.4286,0.4634,0.4564,0.4547
12yr,0.5052,0.5017,0.3415,0.4251,0.4434
11yr,0.5366,0.5296,0.4321,0.4808,0.4948
10yr,0.5017,0.4704,0.5052,0.4704,0.4869
9yr,0.5296,0.4564,0.6063,0.5366,0.5322
8yr,0.4286,0.5714,0.5575,0.5679,0.5314
7yr,0.4460,0.4878,0.4564,0.4321,0.4556
6yr,0.4913,0.4983,0.5540,0.5296,0.5183
5yr,0.3763,0.3798,0.4669,0.4599,0.4207
4yr,0.3833,0.5052,0.4321,0.4390,0.4399
3yr,0.4007,0.4948,0.2892,0.4321,0.4042
2yr,0.4843,0.4495,0.2892,0.3554,0.3946
1yr,0.5923,0.2021,0.5192,0.1220,0.3589
avg,0.4746,0.4702,0.4530,0.4495,0.4618
