old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4669,0.6411,0.6272,0.3798,0.5287
2yr,0.1742,0.0732,0.6237,0.6655,0.3841
3yr,0.1986,0.2474,0.7875,0.6516,0.4713
4yr,0.2509,0.2125,0.5610,0.6237,0.4120
5yr,0.2892,0.1707,0.4774,0.4216,0.3397
6yr,0.1777,0.2125,0.3380,0.4355,0.2909
7yr,0.2334,0.2056,0.3937,0.4111,0.3110
8yr,0.2334,0.2683,0.3449,0.5296,0.3441
9yr,0.2578,0.3449,0.4425,0.5261,0.3929
10yr,0.4007,0.3763,0.6132,0.3624,0.4382
11yr,0.3693,0.4321,0.5261,0.6237,0.4878
12yr,0.4913,0.4425,0.5401,0.4843,0.4895
13yr,0.4495,0.4111,0.5192,0.5087,0.4721
14yr,0.4216,0.4460,0.4390,0.4983,0.4512
avg,0.3153,0.3203,0.5167,0.5087,0.4153
