new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5366,0.4843,0.5923,0.4634,0.5192
14yr,0.4913,0.4390,0.5261,0.5017,0.4895
13yr,0.5296,0.5714,0.5366,0.5436,0.5453
12yr,0.4948,0.4983,0.6585,0.5749,0.5566
11yr,0.4634,0.4704,0.5679,0.5192,0.5052
10yr,0.4983,0.5296,0.4948,0.5296,0.5131
9yr,0.4704,0.5436,0.3937,0.4634,0.4678
8yr,0.5714,0.4286,0.4425,0.4321,0.4686
7yr,0.5540,0.5122,0.5436,0.5679,0.5444
6yr,0.5087,0.5017,0.4460,0.4704,0.4817
5yr,0.6237,0.6202,0.5331,0.5401,0.5793
4yr,0.6167,0.4948,0.5679,0.5610,0.5601
3yr,0.5993,0.5052,0.7108,0.5679,0.5958
2yr,0.5157,0.5505,0.7108,0.6446,0.6054
avg,0.5338,0.5107,0.5518,0.5271,0.5309
