old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5331,0.3589,0.3728,0.6202,0.4713
2yr,0.8258,0.9268,0.3763,0.3345,0.6159
3yr,0.8014,0.7526,0.2125,0.3484,0.5287
4yr,0.7491,0.7875,0.4390,0.3763,0.5880
5yr,0.7108,0.8293,0.5226,0.5784,0.6603
6yr,0.8223,0.7875,0.6620,0.5645,0.7091
7yr,0.7666,0.7944,0.6063,0.5889,0.6890
8yr,0.7666,0.7317,0.6551,0.4704,0.6559
9yr,0.7422,0.6551,0.5575,0.4739,0.6071
10yr,0.5993,0.6237,0.3868,0.6376,0.5618
11yr,0.6307,0.5679,0.4739,0.3763,0.5122
12yr,0.5087,0.5575,0.4599,0.5157,0.5105
13yr,0.5505,0.5889,0.4808,0.4913,0.5279
14yr,0.5784,0.5540,0.5610,0.5017,0.5488
avg,0.6847,0.6797,0.4833,0.4913,0.5847
