metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6646,0.6812,0.6577,0.6704
AUC,New,0.8276,0.8661,0.8122,0.8651
AUC,Retrain,0.8166,0.8596,0.7875,0.8539
AUC,Finetune,0.7843,0.8450,0.7575,0.8407
F1,Old,0.0709,0.0787,0.0687,0.0741
F1,New,0.1757,0.2298,0.1443,0.2380
F1,Retrain,0.1622,0.2437,0.1360,0.2126
F1,Finetune,0.1293,0.1976,0.1089,0.1828
G_Mean,Old,0.5829,0.4904,0.5944,0.4561
G_Mean,New,0.6364,0.7017,0.6337,0.6940
G_Mean,Retrain,0.6102,0.6682,0.6153,0.6763
G_Mean,Finetune,0.6306,0.6845,0.6227,0.6811
Recall,Old,0.5035,0.2938,0.5575,0.2416
Recall,New,0.4443,0.5331,0.4553,0.5174
Recall,Retrain,0.4077,0.4739,0.4286,0.4948
Recall,Finetune,0.4605,0.5157,0.4774,0.5151
Precision,Old,0.0383,0.0464,0.0367,0.0439
Precision,New,0.1099,0.1472,0.0858,0.1551
Precision,Retrain,0.1012,0.1641,0.0808,0.1354
Precision,Finetune,0.0753,0.1228,0.0620,0.1113
