new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8588,0.8621,0.8012,0.8169,0.8348
14yr,0.8617,0.8633,0.8001,0.8190,0.8360
13yr,0.8631,0.8631,0.8119,0.8260,0.8410
12yr,0.8694,0.8701,0.8168,0.8278,0.8460
11yr,0.8726,0.8624,0.8159,0.8349,0.8465
10yr,0.8710,0.8696,0.8271,0.8407,0.8521
9yr,0.8694,0.8708,0.8228,0.8370,0.8500
8yr,0.8696,0.8655,0.8283,0.8378,0.8503
7yr,0.8679,0.8696,0.8292,0.8420,0.8522
6yr,0.8716,0.8612,0.8201,0.8354,0.8471
5yr,0.8634,0.8634,0.8221,0.8303,0.8448
4yr,0.8594,0.8599,0.8250,0.8323,0.8442
3yr,0.8701,0.8645,0.8306,0.8365,0.8504
2yr,0.8601,0.8595,0.8234,0.8278,0.8427
1yr,0.8658,0.8618,0.8247,0.8121,0.8411
avg,0.8663,0.8645,0.8199,0.8304,0.8453
