old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6363,0.6288,0.6123,0.5987,0.6191
2yr,0.6466,0.6280,0.6423,0.6465,0.6409
3yr,0.6769,0.6677,0.6568,0.6797,0.6703
4yr,0.7029,0.6813,0.6782,0.6784,0.6852
5yr,0.7101,0.7121,0.6782,0.6883,0.6972
6yr,0.7147,0.7045,0.6784,0.6962,0.6985
7yr,0.7110,0.7050,0.6850,0.7061,0.7018
8yr,0.7339,0.7371,0.6930,0.7155,0.7199
9yr,0.7751,0.7669,0.7147,0.7290,0.7464
10yr,0.7938,0.7955,0.7391,0.7564,0.7712
11yr,0.8019,0.7966,0.7397,0.7665,0.7761
12yr,0.8058,0.8171,0.7525,0.7779,0.7883
13yr,0.8164,0.8135,0.7582,0.7801,0.7921
14yr,0.8356,0.8349,0.7657,0.7908,0.8068
15yr,0.8357,0.8407,0.7740,0.7974,0.8120
avg,0.7464,0.7420,0.7046,0.7205,0.7284
