new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6955,0.7041,0.6244,0.6565,0.6701
14yr,0.7009,0.7165,0.6405,0.6271,0.6712
13yr,0.7323,0.6827,0.6027,0.6490,0.6667
12yr,0.6863,0.6894,0.6248,0.6212,0.6554
11yr,0.6846,0.6731,0.6742,0.6250,0.6642
10yr,0.7106,0.6984,0.6356,0.6397,0.6710
9yr,0.6757,0.6925,0.6924,0.6602,0.6802
8yr,0.7241,0.7187,0.6711,0.7026,0.7041
7yr,0.6948,0.6675,0.5993,0.6348,0.6491
6yr,0.6609,0.6961,0.6593,0.6860,0.6756
5yr,0.7528,0.5883,0.7098,0.6853,0.6841
4yr,0.7225,0.6500,0.5650,0.6751,0.6532
3yr,0.7140,0.6491,0.5904,0.6240,0.6444
2yr,0.5561,0.5655,0.5202,0.6116,0.5634
1yr,0.6653,0.6221,0.3963,0.4254,0.5273
avg,0.6918,0.6676,0.6137,0.6349,0.6520
