old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5547,0.3749,0.5662,0.5482,0.5110
2yr,0.3949,0.4585,0.6239,0.6181,0.5239
3yr,0.5383,0.4175,0.6124,0.6297,0.5495
4yr,0.4915,0.4889,0.6233,0.5457,0.5374
5yr,0.4723,0.5218,0.6162,0.5643,0.5437
6yr,0.4908,0.4747,0.5243,0.5916,0.5204
7yr,0.4762,0.4709,0.6296,0.6316,0.5521
8yr,0.5295,0.5351,0.6080,0.6078,0.5701
9yr,0.5779,0.5450,0.6120,0.6484,0.5958
10yr,0.6522,0.6210,0.6343,0.6246,0.6330
11yr,0.6277,0.6247,0.6308,0.6811,0.6411
12yr,0.5941,0.6479,0.5542,0.6190,0.6038
13yr,0.6076,0.6194,0.6619,0.5966,0.6214
14yr,0.6643,0.6453,0.6226,0.6003,0.6331
15yr,0.6167,0.6779,0.5764,0.6220,0.6233
avg,0.5526,0.5416,0.6064,0.6086,0.5773
