new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1351,0.1442,0.0782,0.0953,0.1132
14yr,0.1318,0.1366,0.0778,0.0968,0.1108
13yr,0.1302,0.1697,0.0822,0.1085,0.1226
12yr,0.1638,0.1565,0.0865,0.1149,0.1304
11yr,0.1674,0.1659,0.0942,0.1208,0.1371
10yr,0.1548,0.1576,0.0960,0.1232,0.1329
9yr,0.1852,0.1399,0.0845,0.1240,0.1334
8yr,0.1424,0.1538,0.1002,0.0972,0.1234
7yr,0.1924,0.1959,0.0969,0.1329,0.1545
6yr,0.1796,0.1697,0.0967,0.1114,0.1394
5yr,0.1346,0.2452,0.0941,0.1098,0.1459
4yr,0.1364,0.2184,0.1115,0.1158,0.1455
3yr,0.1350,0.1814,0.1090,0.1271,0.1381
2yr,0.2345,0.2500,0.1147,0.1147,0.1785
1yr,0.1603,0.1850,0.1592,0.1809,0.1713
avg,0.1589,0.1780,0.0988,0.1182,0.1385
