old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0360,0.0349,0.0311,0.0308,0.0332
2yr,0.0335,0.0339,0.0378,0.0358,0.0352
3yr,0.0377,0.0340,0.0358,0.0399,0.0368
4yr,0.0553,0.0476,0.0392,0.0379,0.0450
5yr,0.0568,0.0574,0.0375,0.0426,0.0486
6yr,0.0591,0.0557,0.0390,0.0427,0.0491
7yr,0.0588,0.0541,0.0372,0.0440,0.0485
8yr,0.0576,0.0554,0.0436,0.0508,0.0518
9yr,0.0740,0.0716,0.0471,0.0478,0.0601
10yr,0.0731,0.0833,0.0540,0.0603,0.0677
11yr,0.0986,0.0863,0.0548,0.0632,0.0757
12yr,0.0959,0.1052,0.0658,0.0732,0.0850
13yr,0.1086,0.1008,0.0596,0.0790,0.0870
14yr,0.1091,0.1184,0.0654,0.0869,0.0950
15yr,0.1409,0.1250,0.0758,0.0953,0.1093
avg,0.0730,0.0709,0.0483,0.0554,0.0619
