new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5261,0.5366,0.4460,0.4843,0.4983
14yr,0.5366,0.5610,0.4739,0.4355,0.5017
13yr,0.5923,0.4948,0.4077,0.4634,0.4895
12yr,0.5017,0.5087,0.4390,0.4181,0.4669
11yr,0.4983,0.4808,0.5157,0.4216,0.4791
10yr,0.5436,0.5226,0.4495,0.4425,0.4895
9yr,0.4808,0.5192,0.5610,0.4739,0.5087
8yr,0.5714,0.5575,0.5052,0.5645,0.5497
7yr,0.5087,0.4669,0.3937,0.4321,0.4503
6yr,0.4599,0.5157,0.4878,0.5226,0.4965
5yr,0.6272,0.3554,0.5819,0.5226,0.5218
4yr,0.5714,0.4390,0.3415,0.5017,0.4634
3yr,0.5575,0.4425,0.3763,0.4181,0.4486
2yr,0.3171,0.3275,0.2857,0.4042,0.3336
1yr,0.4704,0.4042,0.1603,0.1847,0.3049
avg,0.5175,0.4755,0.4283,0.4460,0.4668
