new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4739,0.4634,0.5540,0.5157,0.5017
14yr,0.4634,0.4390,0.5261,0.5645,0.4983
13yr,0.4077,0.5052,0.5923,0.5366,0.5105
12yr,0.4983,0.4913,0.5610,0.5819,0.5331
11yr,0.5017,0.5192,0.4843,0.5784,0.5209
10yr,0.4564,0.4774,0.5505,0.5575,0.5105
9yr,0.5192,0.4808,0.4390,0.5261,0.4913
8yr,0.4286,0.4425,0.4948,0.4355,0.4503
7yr,0.4913,0.5331,0.6063,0.5679,0.5497
6yr,0.5401,0.4843,0.5122,0.4774,0.5035
5yr,0.3728,0.6446,0.4181,0.4774,0.4782
4yr,0.4286,0.5610,0.6585,0.4983,0.5366
3yr,0.4425,0.5575,0.6237,0.5819,0.5514
2yr,0.6829,0.6725,0.7143,0.5958,0.6664
1yr,0.5296,0.5958,0.8397,0.8153,0.6951
avg,0.4825,0.5245,0.5717,0.5540,0.5332
