old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5784,0.8432,0.4704,0.5401,0.6080
2yr,0.8223,0.7456,0.3659,0.3171,0.5627
3yr,0.6237,0.7979,0.3659,0.3868,0.5436
4yr,0.7282,0.7247,0.4007,0.6098,0.6159
5yr,0.7526,0.6899,0.3972,0.5923,0.6080
6yr,0.7317,0.7491,0.6551,0.5331,0.6672
7yr,0.7491,0.7526,0.3031,0.4355,0.5601
8yr,0.6794,0.6690,0.4983,0.5331,0.5949
9yr,0.6237,0.6690,0.5087,0.4181,0.5549
10yr,0.4983,0.5645,0.4878,0.5261,0.5192
11yr,0.5645,0.5610,0.4983,0.4146,0.5096
12yr,0.6132,0.5366,0.6516,0.5575,0.5897
13yr,0.5993,0.5784,0.4460,0.5993,0.5557
14yr,0.5122,0.5470,0.5401,0.5993,0.5497
15yr,0.5958,0.4983,0.6272,0.5714,0.5732
avg,0.6448,0.6618,0.4811,0.5089,0.5742
