old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5009,0.5025,0.4522,0.4720,0.4819
2yr,0.5424,0.5414,0.5038,0.5327,0.5301
3yr,0.5721,0.5708,0.5213,0.5562,0.5551
4yr,0.5852,0.5846,0.5448,0.5780,0.5732
5yr,0.5943,0.5950,0.5674,0.6089,0.5914
6yr,0.6093,0.6110,0.5860,0.6240,0.6076
7yr,0.6170,0.6204,0.5972,0.6324,0.6168
8yr,0.6419,0.6432,0.6263,0.6535,0.6412
9yr,0.6504,0.6519,0.6357,0.6603,0.6496
10yr,0.6752,0.6756,0.6628,0.6862,0.6749
11yr,0.6805,0.6814,0.6608,0.6878,0.6776
12yr,0.6848,0.6852,0.6686,0.6934,0.6830
13yr,0.6903,0.6901,0.6778,0.6965,0.6887
14yr,0.6975,0.6963,0.6831,0.7005,0.6944
15yr,0.7027,0.7037,0.6923,0.7078,0.7016
avg,0.6296,0.6302,0.6053,0.6327,0.6245
