old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0442,0.0421,0.0428,0.0390,0.0420
2yr,0.0514,0.0508,0.0485,0.0503,0.0503
3yr,0.0508,0.0571,0.0494,0.0515,0.0522
4yr,0.0527,0.0520,0.0504,0.0534,0.0521
5yr,0.0538,0.0531,0.0514,0.0596,0.0545
6yr,0.0632,0.0610,0.0576,0.0721,0.0635
7yr,0.0608,0.0612,0.0616,0.0659,0.0624
8yr,0.0701,0.0681,0.0646,0.0708,0.0684
9yr,0.0729,0.0725,0.0649,0.0763,0.0716
10yr,0.0722,0.0857,0.0705,0.0777,0.0765
11yr,0.0773,0.0779,0.0755,0.0781,0.0772
12yr,0.0731,0.0835,0.0774,0.0993,0.0833
13yr,0.0779,0.0759,0.0816,0.1016,0.0842
14yr,0.1016,0.0986,0.0989,0.1024,0.1004
15yr,0.0951,0.1028,0.0991,0.0950,0.0980
avg,0.0678,0.0695,0.0663,0.0729,0.0691
