new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6347,0.6304,0.6128,0.6478,0.6314
14yr,0.6234,0.6227,0.6135,0.6337,0.6233
13yr,0.6264,0.6056,0.6045,0.6254,0.6155
12yr,0.6239,0.6245,0.6096,0.6425,0.6251
11yr,0.6156,0.6163,0.6184,0.6145,0.6162
10yr,0.5989,0.5985,0.6053,0.6044,0.6018
9yr,0.5985,0.5868,0.5945,0.6231,0.6007
8yr,0.5980,0.5975,0.5924,0.6211,0.6023
7yr,0.5894,0.5919,0.5883,0.6084,0.5945
6yr,0.5913,0.5765,0.5715,0.6067,0.5865
5yr,0.5760,0.5775,0.5732,0.5750,0.5754
4yr,0.5723,0.5719,0.5342,0.5647,0.5608
3yr,0.5892,0.5467,0.5740,0.6138,0.5809
2yr,0.5946,0.5630,0.5426,0.5648,0.5663
1yr,0.5474,0.5532,0.4529,0.5043,0.5144
avg,0.5986,0.5909,0.5792,0.6033,0.5930
