old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4851,0.4770,0.4418,0.4636,0.4669
2yr,0.5031,0.4973,0.4867,0.5033,0.4976
3yr,0.4910,0.5064,0.4932,0.5157,0.5016
4yr,0.5096,0.4994,0.5223,0.5324,0.5159
5yr,0.5350,0.5376,0.4694,0.5391,0.5203
6yr,0.5273,0.5299,0.4987,0.5481,0.5260
7yr,0.5280,0.5412,0.5324,0.5605,0.5405
8yr,0.5679,0.5685,0.5627,0.5902,0.5723
9yr,0.5779,0.5851,0.5742,0.6028,0.5850
10yr,0.6017,0.6171,0.5978,0.6260,0.6107
11yr,0.6104,0.6159,0.6025,0.6267,0.6139
12yr,0.6156,0.6219,0.6140,0.6116,0.6158
13yr,0.6273,0.6230,0.6237,0.6220,0.6240
14yr,0.6135,0.6144,0.6043,0.6226,0.6137
15yr,0.6255,0.6162,0.6097,0.6371,0.6221
avg,0.5613,0.5634,0.5489,0.5735,0.5618
