old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5923,0.5436,0.6690,0.4774,0.5706
2yr,0.7631,0.7631,0.7247,0.7282,0.7448
3yr,0.7770,0.3449,0.7317,0.7282,0.6455
4yr,0.7840,0.7909,0.6585,0.7282,0.7404
5yr,0.4530,0.4774,0.2892,0.4146,0.4085
6yr,0.3693,0.3833,0.3275,0.3868,0.3667
7yr,0.3798,0.4111,0.3868,0.4390,0.4042
8yr,0.4390,0.4495,0.4530,0.4983,0.4599
9yr,0.4530,0.4739,0.4878,0.5052,0.4800
10yr,0.5261,0.5052,0.5261,0.5714,0.5322
11yr,0.5226,0.5366,0.5087,0.5714,0.5348
12yr,0.5714,0.5261,0.5331,0.4599,0.5226
13yr,0.5749,0.5749,0.5401,0.4774,0.5418
14yr,0.4599,0.4669,0.4460,0.4774,0.4625
15yr,0.4983,0.4634,0.4564,0.5261,0.4861
avg,0.5443,0.5141,0.5159,0.5326,0.5267
