old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6028,0.5813,0.7082,0.5497,0.6105
2yr,0.6684,0.6759,0.6731,0.6521,0.6674
3yr,0.6897,0.2567,0.6675,0.6348,0.5622
4yr,0.6687,0.6846,0.5858,0.6108,0.6375
5yr,0.3681,0.3946,0.2383,0.2990,0.3250
6yr,0.2471,0.2674,0.2405,0.2233,0.2446
7yr,0.2659,0.2876,0.2671,0.2844,0.2763
8yr,0.2654,0.2810,0.3009,0.3009,0.2870
9yr,0.2626,0.2775,0.3242,0.2809,0.2863
10yr,0.3120,0.2462,0.3207,0.3142,0.2983
11yr,0.2870,0.2930,0.2865,0.3126,0.2948
12yr,0.3367,0.2649,0.2928,0.1867,0.2703
13yr,0.3155,0.3250,0.2797,0.1896,0.2774
14yr,0.1817,0.1914,0.1812,0.1878,0.1855
15yr,0.2148,0.1807,0.1856,0.2284,0.2024
avg,0.3791,0.3472,0.3701,0.3504,0.3617
