new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4983,0.5226,0.5575,0.4599,0.5096
14yr,0.5505,0.5575,0.5645,0.5087,0.5453
13yr,0.5470,0.5923,0.5923,0.5470,0.5697
12yr,0.5610,0.5575,0.5819,0.5122,0.5531
11yr,0.5749,0.5784,0.5679,0.5819,0.5758
10yr,0.6063,0.6098,0.5854,0.6028,0.6010
9yr,0.6098,0.6272,0.6098,0.5749,0.6054
8yr,0.6063,0.6098,0.6132,0.5714,0.6002
7yr,0.6202,0.6167,0.6272,0.5958,0.6150
6yr,0.6202,0.6446,0.6516,0.5993,0.6289
5yr,0.6446,0.6411,0.6481,0.6481,0.6455
4yr,0.6481,0.6481,0.7003,0.6620,0.6646
3yr,0.6237,0.6829,0.6481,0.5889,0.6359
2yr,0.6132,0.6620,0.6934,0.6620,0.6577
1yr,0.6829,0.6760,0.7909,0.7352,0.7213
avg,0.6005,0.6151,0.6288,0.5900,0.6086
