metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6307,0.6339,0.6206,0.6310
AUC,New,0.6350,0.6320,0.6208,0.6343
AUC,Retrain,0.6426,0.6088,0.5759,0.6294
F1,Old,0.2369,0.2372,0.2348,0.2372
F1,New,0.2472,0.2372,0.2391,0.2440
F1,Retrain,0.2550,0.2273,0.2074,0.2403
G_Mean,Old,0.5861,0.5880,0.5698,0.5743
G_Mean,New,0.5596,0.5339,0.5706,0.5472
G_Mean,Retrain,0.5348,0.5268,0.5335,0.5598
Recall,Old,0.5710,0.6077,0.5062,0.5338
Recall,New,0.4099,0.3713,0.4623,0.3864
Recall,Retrain,0.3396,0.3493,0.4061,0.4130
Precision,Old,0.1506,0.1482,0.1557,0.1567
Precision,New,0.1799,0.1822,0.1628,0.1825
Precision,Retrain,0.2042,0.1684,0.1393,0.1695
