split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.603093,0.056660,0.562270,0.560976,0.029837,0.436432,0.439024
split_1+15,Old,undersampling,0.658338,0.050691,0.362153,0.965157,0.026029,0.864110,0.034843
split_1+15,Old,oversampling,0.536288,0.047754,0.359020,0.146341,0.028533,0.119216,0.853659
split_1+15,Old,hybrid,0.561133,0.043740,0.349171,0.139373,0.025940,0.125219,0.860627
split_1+15,New,none,0.779626,0.152723,0.648243,0.473868,0.091031,0.113214,0.526132
split_1+15,New,undersampling,0.765268,0.124690,0.701845,0.613240,0.069401,0.196749,0.386760
split_1+15,New,oversampling,0.669216,0.072873,0.622336,0.602787,0.038781,0.357482,0.397213
split_1+15,New,hybrid,0.775921,0.116245,0.672593,0.560976,0.064841,0.193581,0.439024
split_1+15,Retrain,none,0.800850,0.111928,0.717148,0.689895,0.060904,0.254523,0.310105
split_1+15,Retrain,undersampling,0.750673,0.150538,0.681753,0.536585,0.087550,0.133806,0.463415
split_1+15,Retrain,oversampling,0.724444,0.092893,0.631812,0.519164,0.051010,0.231096,0.480836
split_1+15,Retrain,hybrid,0.776218,0.135831,0.600173,0.404181,0.081633,0.108795,0.595819
split_2+14,Old,none,0.608458,0.072771,0.431702,0.209059,0.044053,0.108545,0.790941
split_2+14,Old,undersampling,0.555498,0.049857,0.525718,0.484321,0.026281,0.429346,0.515679
split_2+14,Old,oversampling,0.549217,0.052778,0.492146,0.331010,0.028675,0.268278,0.668990
split_2+14,Old,hybrid,0.580532,0.045176,0.408337,0.205575,0.025376,0.188912,0.794425
split_2+14,New,none,0.782332,0.134813,0.690658,0.571429,0.076421,0.165236,0.428571
split_2+14,New,undersampling,0.791374,0.159180,0.701628,0.567944,0.092561,0.133222,0.432056
split_2+14,New,oversampling,0.741181,0.096108,0.624964,0.494774,0.053223,0.210588,0.505226
split_2+14,New,hybrid,0.739996,0.101513,0.644091,0.526132,0.056176,0.211505,0.473868
split_3+13,Old,none,0.596941,0.051666,0.499535,0.780488,0.026718,0.680283,0.219512
split_3+13,Old,undersampling,0.588050,0.058521,0.543491,0.435540,0.031368,0.321801,0.564460
split_3+13,Old,oversampling,0.625778,0.068031,0.567018,0.445993,0.036824,0.279116,0.554007
split_3+13,Old,hybrid,0.612225,0.060371,0.451672,0.243902,0.034449,0.163568,0.756098
split_3+13,New,none,0.789069,0.132755,0.670980,0.533101,0.075818,0.155481,0.466899
split_3+13,New,undersampling,0.764279,0.181278,0.626004,0.425087,0.115203,0.078116,0.574913
split_3+13,New,oversampling,0.733506,0.100418,0.650257,0.543554,0.055319,0.222093,0.456446
split_3+13,New,hybrid,0.758528,0.118414,0.597259,0.411150,0.069168,0.132388,0.588850
split_4+12,Old,none,0.742253,0.079444,0.665965,0.756098,0.041924,0.413422,0.243902
split_4+12,Old,undersampling,0.670316,0.072792,0.615023,0.571429,0.038872,0.338058,0.428571
split_4+12,Old,oversampling,0.584868,0.055651,0.539764,0.449477,0.029662,0.351813,0.550523
split_4+12,Old,hybrid,0.632343,0.071111,0.519502,0.334495,0.039785,0.193164,0.665505
split_4+12,New,none,0.767234,0.111692,0.682988,0.595819,0.061622,0.217090,0.404181
split_4+12,New,undersampling,0.735648,0.105906,0.655843,0.543554,0.058669,0.208670,0.456446
split_4+12,New,oversampling,0.719940,0.101347,0.631583,0.498258,0.056410,0.199416,0.501742
split_4+12,New,hybrid,0.775628,0.157603,0.661921,0.494774,0.093729,0.114464,0.505226
split_5+11,Old,none,0.640266,0.058824,0.542237,0.867596,0.030444,0.661109,0.132404
split_5+11,Old,undersampling,0.716428,0.099573,0.674210,0.609756,0.054213,0.254523,0.390244
split_5+11,Old,oversampling,0.634367,0.070194,0.576009,0.459930,0.037997,0.278616,0.540070
split_5+11,Old,hybrid,0.645805,0.067422,0.565902,0.445993,0.036467,0.281951,0.554007
split_5+11,New,none,0.797435,0.141706,0.699690,0.581882,0.080676,0.158649,0.418118
split_5+11,New,undersampling,0.822384,0.115626,0.737282,0.738676,0.062722,0.264110,0.261324
split_5+11,New,oversampling,0.750842,0.106796,0.653682,0.536585,0.059299,0.203668,0.463415
split_5+11,New,hybrid,0.774793,0.133949,0.657444,0.505226,0.077210,0.144477,0.494774
split_6+10,Old,none,0.684672,0.075194,0.642091,0.675958,0.039811,0.390079,0.324042
split_6+10,Old,undersampling,0.748901,0.077108,0.660307,0.783972,0.040548,0.443852,0.216028
split_6+10,Old,oversampling,0.626363,0.062599,0.594925,0.686411,0.032795,0.484368,0.313589
split_6+10,Old,hybrid,0.647710,0.070605,0.600031,0.533101,0.037806,0.324635,0.466899
split_6+10,New,none,0.796058,0.155590,0.678385,0.526132,0.091294,0.125302,0.473868
split_6+10,New,undersampling,0.791233,0.151961,0.622957,0.432056,0.092193,0.101792,0.567944
split_6+10,New,oversampling,0.744056,0.119614,0.540647,0.324042,0.073344,0.097957,0.675958
split_6+10,New,hybrid,0.791505,0.143187,0.620060,0.432056,0.085813,0.110129,0.567944
split_7+9,Old,none,0.694286,0.075320,0.606746,0.522648,0.040584,0.295623,0.477352
split_7+9,Old,undersampling,0.698468,0.077958,0.632974,0.595819,0.041707,0.327553,0.404181
split_7+9,Old,oversampling,0.662940,0.075000,0.588012,0.470383,0.040749,0.264944,0.529617
split_7+9,Old,hybrid,0.681685,0.076780,0.624961,0.574913,0.041137,0.320634,0.425087
split_7+9,New,none,0.806119,0.180028,0.639180,0.445993,0.112775,0.083952,0.554007
split_7+9,New,undersampling,0.786341,0.177352,0.680168,0.515679,0.107091,0.102876,0.484321
split_7+9,New,oversampling,0.757786,0.122210,0.592669,0.400697,0.072100,0.123385,0.599303
split_7+9,New,hybrid,0.798361,0.149312,0.599938,0.397213,0.091935,0.093872,0.602787
split_8+8,Old,none,0.764856,0.086786,0.689706,0.770035,0.045984,0.382243,0.229965
split_8+8,Old,undersampling,0.764565,0.085583,0.669790,0.679443,0.045667,0.339725,0.320557
split_8+8,Old,oversampling,0.673853,0.070469,0.605982,0.557491,0.037612,0.341309,0.442509
split_8+8,Old,hybrid,0.683798,0.075063,0.588112,0.470383,0.040785,0.264694,0.529617
split_8+8,New,none,0.804144,0.196491,0.605092,0.390244,0.131301,0.061776,0.609756
split_8+8,New,undersampling,0.812901,0.195225,0.666352,0.484321,0.122252,0.083201,0.515679
split_8+8,New,oversampling,0.796862,0.149061,0.628426,0.442509,0.089626,0.107545,0.557491
split_8+8,New,hybrid,0.799277,0.147427,0.689189,0.554007,0.085027,0.142643,0.445993
split_9+7,Old,none,0.703624,0.084321,0.625596,0.533101,0.045781,0.265861,0.466899
split_9+7,Old,undersampling,0.716030,0.090930,0.683602,0.689895,0.048673,0.322634,0.310105
split_9+7,Old,oversampling,0.643136,0.070123,0.554963,0.407666,0.038361,0.244519,0.592334
split_9+7,Old,hybrid,0.699789,0.094614,0.548326,0.351916,0.054654,0.145644,0.648084
split_9+7,New,none,0.771970,0.220930,0.613447,0.397213,0.153020,0.052605,0.602787
split_9+7,New,undersampling,0.777828,0.212471,0.554565,0.320557,0.158895,0.040600,0.679443
split_9+7,New,oversampling,0.795827,0.146943,0.636006,0.456446,0.087567,0.113797,0.543554
split_9+7,New,hybrid,0.792493,0.178344,0.601965,0.390244,0.115583,0.071446,0.609756
split_10+6,Old,none,0.743948,0.097780,0.656804,0.567944,0.053495,0.240434,0.432056
split_10+6,Old,undersampling,0.686287,0.073387,0.629856,0.634146,0.038947,0.374406,0.365854
split_10+6,Old,oversampling,0.667198,0.080619,0.617280,0.526132,0.043654,0.275782,0.473868
split_10+6,Old,hybrid,0.722229,0.105348,0.612789,0.452962,0.059606,0.170988,0.547038
split_10+6,New,none,0.795423,0.245304,0.608615,0.386760,0.179612,0.042268,0.613240
split_10+6,New,undersampling,0.788571,0.203083,0.606086,0.390244,0.137255,0.058691,0.609756
split_10+6,New,oversampling,0.768790,0.155826,0.589944,0.379791,0.098022,0.083618,0.620209
split_10+6,New,hybrid,0.825489,0.200861,0.669686,0.487805,0.126468,0.080617,0.512195
split_11+5,Old,none,0.652035,0.073443,0.589261,0.480836,0.039758,0.277866,0.519164
split_11+5,Old,undersampling,0.735818,0.101280,0.680079,0.620209,0.055143,0.254273,0.379791
split_11+5,Old,oversampling,0.695422,0.079749,0.642992,0.620209,0.042614,0.333389,0.379791
split_11+5,Old,hybrid,0.752371,0.111671,0.659532,0.540070,0.062274,0.194581,0.459930
split_11+5,New,none,0.789577,0.242728,0.633167,0.421603,0.170423,0.049104,0.578397
split_11+5,New,undersampling,0.765077,0.203431,0.527679,0.289199,0.156900,0.037182,0.710801
split_11+5,New,oversampling,0.781212,0.162659,0.605715,0.400697,0.102041,0.084368,0.599303
split_11+5,New,hybrid,0.838481,0.212955,0.626914,0.418118,0.142857,0.060025,0.581882
