split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.577482,0.053134,0.534452,0.707317,0.027604,0.596165,0.292683
split_1+15,Old,undersampling,0.489329,0.038817,0.462295,0.372822,0.020475,0.426761,0.627178
split_1+15,Old,oversampling,0.508198,0.043360,0.489329,0.529617,0.022606,0.547895,0.470383
split_1+15,Old,hybrid,0.510727,0.037063,0.286984,0.090592,0.023297,0.090871,0.909408
split_1+15,New,none,0.764764,0.121713,0.678469,0.564460,0.068211,0.184494,0.435540
split_1+15,New,undersampling,0.744969,0.106766,0.679158,0.599303,0.058603,0.230346,0.400697
split_1+15,New,oversampling,0.702293,0.102375,0.601523,0.435540,0.058005,0.169237,0.564460
split_1+15,New,hybrid,0.783536,0.121162,0.651817,0.508711,0.068771,0.164819,0.491289
split_1+15,Retrain,none,0.761791,0.131519,0.656162,0.505226,0.075600,0.147812,0.494774
split_1+15,Retrain,undersampling,0.727711,0.107579,0.654400,0.536585,0.059783,0.201917,0.463415
split_1+15,Retrain,oversampling,0.691144,0.072635,0.630573,0.651568,0.038462,0.389746,0.348432
split_1+15,Retrain,hybrid,0.714913,0.091349,0.632720,0.526132,0.050017,0.239100,0.473868
split_2+14,Old,none,0.698322,0.047830,0.257607,0.979094,0.024514,0.932222,0.020906
split_2+14,Old,undersampling,0.433683,0.031200,0.382998,0.205575,0.016881,0.286453,0.794425
split_2+14,Old,oversampling,0.558995,0.054509,0.549011,0.519164,0.028764,0.419425,0.480836
split_2+14,Old,hybrid,0.540248,0.045279,0.445770,0.264808,0.024756,0.249604,0.735192
split_2+14,New,none,0.792623,0.116941,0.707060,0.644599,0.064303,0.224427,0.355401
split_2+14,New,undersampling,0.765542,0.149565,0.632793,0.449477,0.089708,0.109129,0.550523
split_2+14,New,oversampling,0.714894,0.097395,0.604816,0.449477,0.054615,0.186161,0.550523
split_2+14,New,hybrid,0.799198,0.140351,0.673323,0.529617,0.080894,0.143977,0.470383
split_3+13,Old,none,0.624865,0.050598,0.424128,0.891986,0.026037,0.798333,0.108014
split_3+13,Old,undersampling,0.652102,0.069429,0.619798,0.648084,0.036679,0.407253,0.351916
split_3+13,Old,oversampling,0.598326,0.056467,0.558779,0.707317,0.029408,0.558566,0.292683
split_3+13,Old,hybrid,0.605091,0.054340,0.450506,0.250871,0.030470,0.190996,0.749129
split_3+13,New,none,0.719331,0.111993,0.611647,0.442509,0.064109,0.154564,0.557491
split_3+13,New,undersampling,0.767544,0.166860,0.669009,0.501742,0.100069,0.107962,0.498258
split_3+13,New,oversampling,0.749506,0.112540,0.635602,0.487805,0.063607,0.171822,0.512195
split_3+13,New,hybrid,0.794587,0.166265,0.656757,0.480836,0.100510,0.102960,0.519164
split_4+12,Old,none,0.655308,0.089897,0.569506,0.393728,0.050741,0.176240,0.606272
split_4+12,Old,undersampling,0.653570,0.062520,0.594350,0.672474,0.032784,0.474698,0.327526
split_4+12,Old,oversampling,0.544021,0.050881,0.534562,0.543554,0.026689,0.474281,0.456446
split_4+12,Old,hybrid,0.576803,0.058716,0.434734,0.222997,0.033809,0.152480,0.777003
split_4+12,New,none,0.808853,0.166493,0.699241,0.557491,0.097859,0.122968,0.442509
split_4+12,New,undersampling,0.766589,0.147190,0.669272,0.515679,0.085847,0.131388,0.484321
split_4+12,New,oversampling,0.744520,0.116717,0.663615,0.540070,0.065428,0.184577,0.459930
split_4+12,New,hybrid,0.771861,0.157303,0.580596,0.365854,0.100191,0.078616,0.634146
split_5+11,Old,none,0.709397,0.125389,0.606718,0.421603,0.073646,0.126886,0.578397
split_5+11,Old,undersampling,0.723716,0.083514,0.675835,0.738676,0.044259,0.381659,0.261324
split_5+11,Old,oversampling,0.577626,0.059621,0.510435,0.344948,0.032630,0.244685,0.655052
split_5+11,Old,hybrid,0.633737,0.064399,0.498365,0.310105,0.035931,0.199083,0.689895
split_5+11,New,none,0.760754,0.135732,0.694475,0.578397,0.076887,0.166153,0.421603
split_5+11,New,undersampling,0.779851,0.141386,0.672052,0.526132,0.081666,0.141559,0.473868
split_5+11,New,oversampling,0.777070,0.125812,0.670097,0.540070,0.071199,0.168570,0.459930
split_5+11,New,hybrid,0.809112,0.161357,0.691765,0.547038,0.094635,0.125219,0.452962
split_6+10,Old,none,0.699957,0.073763,0.619879,0.581882,0.039378,0.339642,0.418118
split_6+10,Old,undersampling,0.765509,0.102276,0.663427,0.571429,0.056164,0.229762,0.428571
split_6+10,Old,oversampling,0.643682,0.062601,0.590424,0.606272,0.033005,0.425010,0.393728
split_6+10,Old,hybrid,0.662991,0.079233,0.524764,0.331010,0.045002,0.168070,0.668990
split_6+10,New,none,0.764811,0.124338,0.701553,0.613240,0.069182,0.197416,0.386760
split_6+10,New,undersampling,0.770180,0.140965,0.668234,0.519164,0.081554,0.139892,0.480836
split_6+10,New,oversampling,0.769687,0.148101,0.606381,0.407666,0.090487,0.098041,0.592334
split_6+10,New,hybrid,0.808711,0.144483,0.697930,0.574913,0.082624,0.152730,0.425087
split_7+9,Old,none,0.648373,0.096135,0.540313,0.337979,0.056037,0.136223,0.662021
split_7+9,Old,undersampling,0.742632,0.099444,0.667881,0.592334,0.054278,0.246936,0.407666
split_7+9,Old,oversampling,0.615075,0.059462,0.566013,0.515679,0.031550,0.378741,0.484321
split_7+9,Old,hybrid,0.670647,0.070837,0.615428,0.595819,0.037657,0.364318,0.404181
split_7+9,New,none,0.763777,0.133202,0.638313,0.470383,0.077586,0.133806,0.529617
split_7+9,New,undersampling,0.752104,0.188128,0.581199,0.358885,0.127475,0.058774,0.641115
split_7+9,New,oversampling,0.764965,0.132464,0.632122,0.459930,0.077374,0.131221,0.540070
split_7+9,New,hybrid,0.789922,0.133397,0.647927,0.487805,0.077263,0.139391,0.512195
split_8+8,Old,none,0.655128,0.085938,0.598502,0.459930,0.047397,0.221175,0.540070
split_8+8,Old,undersampling,0.724711,0.081009,0.668644,0.738676,0.042854,0.394748,0.261324
split_8+8,Old,oversampling,0.596017,0.058411,0.563828,0.522648,0.030934,0.391747,0.477352
split_8+8,Old,hybrid,0.727495,0.098830,0.642795,0.529617,0.054500,0.219842,0.470383
split_8+8,New,none,0.776030,0.119199,0.623467,0.456446,0.068550,0.148395,0.543554
split_8+8,New,undersampling,0.766648,0.202510,0.627647,0.421603,0.133260,0.065611,0.578397
split_8+8,New,oversampling,0.734080,0.117007,0.521773,0.299652,0.072697,0.091455,0.700348
split_8+8,New,hybrid,0.800528,0.147913,0.654360,0.487805,0.087173,0.122218,0.512195
split_9+7,Old,none,0.763224,0.106109,0.709326,0.689895,0.057475,0.270696,0.310105
split_9+7,Old,undersampling,0.711430,0.070567,0.632007,0.825784,0.036858,0.516298,0.174216
split_9+7,Old,oversampling,0.658608,0.068256,0.597071,0.543554,0.036415,0.344143,0.456446
split_9+7,Old,hybrid,0.753822,0.094787,0.683436,0.662021,0.051048,0.294456,0.337979
split_9+7,New,none,0.765142,0.223301,0.555576,0.320557,0.171322,0.037099,0.679443
split_9+7,New,undersampling,0.744143,0.232030,0.556322,0.320557,0.181818,0.034514,0.679443
split_9+7,New,oversampling,0.811641,0.200562,0.593215,0.372822,0.137179,0.056107,0.627178
split_9+7,New,hybrid,0.772557,0.148779,0.636664,0.456446,0.088874,0.111963,0.543554
split_10+6,Old,none,0.698383,0.083355,0.633455,0.560976,0.045022,0.284702,0.439024
split_10+6,Old,undersampling,0.766402,0.107570,0.701247,0.658537,0.058568,0.253272,0.341463
split_10+6,Old,oversampling,0.608422,0.057060,0.567099,0.616725,0.029914,0.478533,0.383275
split_10+6,Old,hybrid,0.702676,0.089632,0.578603,0.411150,0.050298,0.185744,0.588850
split_10+6,New,none,0.803079,0.227991,0.580780,0.351916,0.168614,0.041517,0.648084
split_10+6,New,undersampling,0.799669,0.183498,0.663589,0.484321,0.113192,0.090788,0.515679
split_10+6,New,oversampling,0.772281,0.142765,0.591146,0.386760,0.087539,0.096457,0.613240
split_10+6,New,hybrid,0.795844,0.189668,0.629984,0.428571,0.121782,0.073947,0.571429
split_11+5,Old,none,0.687160,0.114364,0.609201,0.435540,0.065824,0.147895,0.564460
split_11+5,Old,undersampling,0.702344,0.077621,0.642565,0.641115,0.041311,0.355982,0.358885
split_11+5,Old,oversampling,0.686273,0.074074,0.636011,0.658537,0.039244,0.385744,0.341463
split_11+5,Old,hybrid,0.707599,0.086903,0.613116,0.491289,0.047667,0.234848,0.508711
split_11+5,New,none,0.781335,0.210101,0.586748,0.362369,0.147937,0.049937,0.637631
split_11+5,New,undersampling,0.767155,0.174134,0.578929,0.358885,0.114955,0.066111,0.641115
split_11+5,New,oversampling,0.788005,0.138298,0.655910,0.498258,0.080292,0.136557,0.501742
split_11+5,New,hybrid,0.812849,0.164103,0.635154,0.445993,0.100550,0.095456,0.554007
split_12+4,Old,none,0.743501,0.088042,0.674326,0.675958,0.047087,0.327303,0.324042
split_12+4,Old,undersampling,0.747566,0.097921,0.676628,0.623693,0.053131,0.265944,0.376307
