metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6650,0.6958,0.6209,0.6814
AUC,New,0.8014,0.7788,0.7691,0.7719
AUC,Retrain,0.7149,0.7618,0.6911,0.7277
F1,Old,0.0804,0.0867,0.0662,0.0772
F1,New,0.1605,0.1695,0.1416,0.1890
F1,Retrain,0.0913,0.1315,0.0726,0.1076
G_Mean,Old,0.5509,0.5896,0.5713,0.6184
G_Mean,New,0.6344,0.6369,0.6075,0.6226
G_Mean,Retrain,0.6327,0.6562,0.6306,0.6544
Recall,Old,0.4037,0.6118,0.5329,0.6246
Recall,New,0.4571,0.4669,0.4230,0.4328
Recall,Retrain,0.5261,0.5052,0.6516,0.5366
Precision,Old,0.0450,0.0476,0.0355,0.0413
Precision,New,0.1008,0.1107,0.0874,0.1322
Precision,Retrain,0.0500,0.0756,0.0385,0.0598
