new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.7648,0.7450,0.7023,0.7835,0.7489
14yr,0.7926,0.7655,0.7149,0.7992,0.7681
13yr,0.7193,0.7675,0.7495,0.7946,0.7577
12yr,0.8089,0.7666,0.7445,0.7719,0.7730
11yr,0.7608,0.7799,0.7771,0.8091,0.7817
10yr,0.7648,0.7702,0.7697,0.8087,0.7783
9yr,0.7638,0.7521,0.7650,0.7899,0.7677
8yr,0.7760,0.7666,0.7341,0.8005,0.7693
7yr,0.7651,0.7441,0.8116,0.7726,0.7734
6yr,0.8031,0.7997,0.7723,0.7958,0.7927
5yr,0.7813,0.7672,0.7880,0.8128,0.7873
4yr,0.7814,0.8030,0.7933,0.8250,0.8007
3yr,0.7904,0.8136,0.7966,0.8240,0.8061
2yr,0.8105,0.7528,0.8349,0.8376,0.8090
1yr,0.7998,0.7849,0.7822,0.7963,0.7908
avg,0.7788,0.7719,0.7691,0.8014,0.7803
