new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1217,0.1068,0.1024,0.1212,0.1130
14yr,0.1169,0.1496,0.0974,0.1404,0.1261
13yr,0.1120,0.1669,0.1125,0.1663,0.1394
12yr,0.1665,0.1472,0.1167,0.1573,0.1469
11yr,0.1357,0.1414,0.1258,0.1614,0.1411
10yr,0.1243,0.1410,0.1481,0.1445,0.1395
9yr,0.1332,0.1881,0.1325,0.1334,0.1468
8yr,0.1192,0.2025,0.1170,0.1479,0.1467
7yr,0.2233,0.2320,0.2006,0.1488,0.2012
6yr,0.2280,0.1835,0.1428,0.1897,0.1860
5yr,0.2101,0.1741,0.1383,0.1641,0.1717
4yr,0.2329,0.2104,0.1564,0.1840,0.1959
3yr,0.1918,0.2620,0.1771,0.1722,0.2008
2yr,0.1766,0.2358,0.1793,0.1965,0.1970
1yr,0.2508,0.2942,0.1775,0.1804,0.2257
avg,0.1695,0.1890,0.1416,0.1605,0.1652
