old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0531,0.0388,0.0434,0.0371,0.0431
2yr,0.0478,0.0312,0.0545,0.0453,0.0447
3yr,0.0506,0.0694,0.0565,0.0543,0.0577
4yr,0.0899,0.0625,0.0509,0.0587,0.0655
5yr,0.1254,0.0835,0.0596,0.0644,0.0832
6yr,0.0738,0.1023,0.0626,0.0792,0.0795
7yr,0.0961,0.0994,0.0595,0.0708,0.0815
8yr,0.0859,0.0810,0.0584,0.0988,0.0810
9yr,0.1061,0.0706,0.0683,0.0948,0.0849
10yr,0.0834,0.1076,0.0571,0.0896,0.0844
11yr,0.1144,0.0776,0.0741,0.0869,0.0882
12yr,0.0880,0.0979,0.0657,0.1059,0.0894
13yr,0.0952,0.0809,0.0834,0.0940,0.0884
14yr,0.0933,0.0597,0.1099,0.1123,0.0938
15yr,0.0968,0.0952,0.0886,0.1133,0.0985
avg,0.0867,0.0772,0.0662,0.0804,0.0776
