new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0682,0.0586,0.0580,0.0688,0.0634
14yr,0.0643,0.0897,0.0546,0.0809,0.0724
13yr,0.0641,0.1001,0.0636,0.1005,0.0821
12yr,0.0979,0.0858,0.0654,0.1002,0.0873
11yr,0.0769,0.0817,0.0712,0.0946,0.0811
10yr,0.0692,0.0816,0.0905,0.0826,0.0810
9yr,0.0776,0.1275,0.0774,0.0773,0.0899
8yr,0.0686,0.1333,0.0727,0.0872,0.0904
7yr,0.1713,0.1818,0.1372,0.0889,0.1448
6yr,0.1686,0.1132,0.0875,0.1218,0.1228
5yr,0.1479,0.1150,0.0803,0.1005,0.1109
4yr,0.1636,0.1370,0.0978,0.1152,0.1284
3yr,0.1345,0.2199,0.1179,0.1021,0.1436
2yr,0.1076,0.1783,0.1199,0.1479,0.1384
1yr,0.1804,0.2799,0.1172,0.1431,0.1802
avg,0.1107,0.1322,0.0874,0.1008,0.1078
