old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.7073,0.3728,0.5296,0.0906,0.4251
2yr,0.9791,0.2056,0.5192,0.2648,0.4922
3yr,0.8920,0.6481,0.7073,0.2509,0.6246
4yr,0.3937,0.6725,0.5436,0.2230,0.4582
5yr,0.4216,0.7387,0.3449,0.3101,0.4538
6yr,0.5819,0.5714,0.6063,0.3310,0.5226
7yr,0.3380,0.5923,0.5157,0.5958,0.5105
8yr,0.4599,0.7387,0.5226,0.5296,0.5627
9yr,0.6899,0.8258,0.5436,0.6620,0.6803
10yr,0.5610,0.6585,0.6167,0.4111,0.5618
11yr,0.4355,0.6411,0.6585,0.4913,0.5566
12yr,0.6760,0.6237,0.4216,0.4704,0.5479
13yr,0.6411,0.6934,0.5087,0.5017,0.5862
14yr,0.6794,0.8014,0.5226,0.4007,0.6010
15yr,0.7213,0.5854,0.4321,0.5226,0.5653
avg,0.6118,0.6246,0.5329,0.4037,0.5433
