new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4355,0.4007,0.5645,0.4913,0.4730
14yr,0.3554,0.5505,0.5505,0.4704,0.4817
13yr,0.5575,0.4983,0.5122,0.5192,0.5218
12yr,0.4425,0.4843,0.4599,0.6341,0.5052
11yr,0.4216,0.4739,0.4599,0.4530,0.4521
10yr,0.3868,0.4808,0.5923,0.4251,0.4713
9yr,0.5296,0.6411,0.5401,0.5122,0.5557
8yr,0.5436,0.5784,0.7003,0.5122,0.5836
7yr,0.6794,0.6794,0.6272,0.5436,0.6324
6yr,0.6481,0.5157,0.6132,0.5714,0.5871
5yr,0.6376,0.6411,0.5017,0.5540,0.5836
4yr,0.5958,0.5470,0.6098,0.5436,0.5740
3yr,0.6655,0.6760,0.6446,0.4495,0.6089
2yr,0.5087,0.6516,0.6446,0.7073,0.6280
1yr,0.5889,0.6899,0.6341,0.7561,0.6672
avg,0.5331,0.5672,0.5770,0.5429,0.5551
