old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2927,0.6272,0.4704,0.9094,0.5749
2yr,0.0209,0.7944,0.4808,0.7352,0.5078
3yr,0.1080,0.3519,0.2927,0.7491,0.3754
4yr,0.6063,0.3275,0.4564,0.7770,0.5418
5yr,0.5784,0.2613,0.6551,0.6899,0.5462
6yr,0.4181,0.4286,0.3937,0.6690,0.4774
7yr,0.6620,0.4077,0.4843,0.4042,0.4895
8yr,0.5401,0.2613,0.4774,0.4704,0.4373
9yr,0.3101,0.1742,0.4564,0.3380,0.3197
10yr,0.4390,0.3415,0.3833,0.5889,0.4382
11yr,0.5645,0.3589,0.3415,0.5087,0.4434
12yr,0.3240,0.3763,0.5784,0.5296,0.4521
13yr,0.3589,0.3066,0.4913,0.4983,0.4138
14yr,0.3206,0.1986,0.4774,0.5993,0.3990
15yr,0.2787,0.4146,0.5679,0.4774,0.4347
avg,0.3882,0.3754,0.4671,0.5963,0.4567
