split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.636264,0.063477,0.451641,0.240418,0.036566,0.151563,0.759582
split_1+15,Old,undersampling,0.623630,0.055108,0.359224,0.142857,0.034138,0.096707,0.857143
split_1+15,Old,oversampling,0.564971,0.053455,0.528010,0.428571,0.028505,0.349479,0.571429
split_1+15,Old,hybrid,0.550525,0.049960,0.315757,0.108014,0.032495,0.076949,0.891986
split_1+15,New,none,0.801257,0.143460,0.705597,0.592334,0.081613,0.159483,0.407666
split_1+15,New,undersampling,0.818384,0.149382,0.652978,0.484321,0.088310,0.119633,0.515679
split_1+15,New,oversampling,0.732064,0.108161,0.575298,0.383275,0.062965,0.136474,0.616725
split_1+15,New,hybrid,0.803175,0.144243,0.707669,0.595819,0.082054,0.159483,0.404181
split_1+15,Retrain,none,0.786534,0.188354,0.647627,0.456446,0.118659,0.081117,0.543554
split_1+15,Retrain,undersampling,0.767322,0.121044,0.663553,0.533101,0.068273,0.174073,0.466899
split_1+15,Retrain,oversampling,0.740132,0.094355,0.670199,0.620209,0.051061,0.275782,0.379791
split_1+15,Retrain,hybrid,0.789005,0.148095,0.573529,0.358885,0.093297,0.083451,0.641115
split_2+14,Old,none,0.681677,0.074715,0.545896,0.376307,0.041475,0.208087,0.623693
split_2+14,Old,undersampling,0.599767,0.060360,0.443997,0.233449,0.034661,0.155565,0.766551
split_2+14,Old,oversampling,0.557214,0.051513,0.519522,0.418118,0.027447,0.354481,0.581882
split_2+14,Old,hybrid,0.583580,0.056186,0.496554,0.327526,0.030729,0.247186,0.672474
split_2+14,New,none,0.806816,0.186940,0.678844,0.508711,0.114510,0.094123,0.491289
split_2+14,New,undersampling,0.818080,0.152625,0.715528,0.602787,0.087374,0.150646,0.397213
split_2+14,New,oversampling,0.753765,0.112043,0.647055,0.512195,0.062901,0.182576,0.487805
split_2+14,New,hybrid,0.806602,0.161137,0.651071,0.473868,0.097074,0.105461,0.526132
split_3+13,Old,none,0.581835,0.061781,0.397805,0.177700,0.037390,0.109462,0.822300
split_3+13,Old,undersampling,0.641808,0.069126,0.556465,0.414634,0.037706,0.253189,0.585366
split_3+13,Old,oversampling,0.608577,0.061987,0.519054,0.355401,0.033955,0.241934,0.644599
split_3+13,Old,hybrid,0.653053,0.062080,0.425931,0.209059,0.036452,0.132222,0.790941
split_3+13,New,none,0.812391,0.181234,0.667150,0.491289,0.111111,0.094039,0.508711
split_3+13,New,undersampling,0.827010,0.180952,0.689074,0.529617,0.109117,0.103460,0.470383
split_3+13,New,oversampling,0.783293,0.134841,0.695518,0.581882,0.076256,0.168654,0.418118
split_3+13,New,hybrid,0.803002,0.154939,0.615070,0.418118,0.095087,0.095206,0.581882
split_4+12,Old,none,0.674708,0.075381,0.576007,0.439024,0.041230,0.244268,0.560976
split_4+12,Old,undersampling,0.694671,0.087513,0.643710,0.571429,0.047385,0.274865,0.428571
split_4+12,Old,oversampling,0.600271,0.055037,0.523951,0.400697,0.029548,0.314881,0.599303
split_4+12,Old,hybrid,0.666350,0.076076,0.557895,0.397213,0.042066,0.216424,0.602787
split_4+12,New,none,0.827538,0.178404,0.649644,0.463415,0.110465,0.089287,0.536585
split_4+12,New,undersampling,0.811865,0.166176,0.662807,0.491289,0.100000,0.105794,0.508711
split_4+12,New,oversampling,0.774366,0.116762,0.676058,0.567944,0.065070,0.195248,0.432056
split_4+12,New,hybrid,0.808659,0.152457,0.678939,0.529617,0.089045,0.129637,0.470383
split_5+11,Old,none,0.713130,0.093903,0.610078,0.466899,0.052201,0.202835,0.533101
split_5+11,Old,undersampling,0.715487,0.094559,0.671615,0.623693,0.051157,0.276782,0.376307
split_5+11,Old,oversampling,0.656306,0.063364,0.411542,0.191638,0.037957,0.116215,0.808362
split_5+11,Old,hybrid,0.645766,0.069677,0.521867,0.341463,0.038797,0.202418,0.658537
split_5+11,New,none,0.814413,0.237643,0.642107,0.435540,0.163399,0.053356,0.564460
split_5+11,New,undersampling,0.814826,0.229740,0.687874,0.508711,0.148374,0.069862,0.491289
split_5+11,New,oversampling,0.789753,0.161028,0.614474,0.414634,0.099916,0.089371,0.585366
split_5+11,New,hybrid,0.825388,0.213152,0.674264,0.491289,0.136100,0.074614,0.508711
split_6+10,Old,none,0.682399,0.088338,0.570107,0.397213,0.049695,0.181742,0.602787
split_6+10,Old,undersampling,0.691287,0.080642,0.651461,0.648084,0.042996,0.345144,0.351916
split_6+10,Old,oversampling,0.672794,0.078859,0.522335,0.327526,0.044826,0.166986,0.672474
