old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0635,0.0551,0.0535,0.0500,0.0555
2yr,0.0747,0.0604,0.0515,0.0562,0.0607
3yr,0.0618,0.0691,0.0620,0.0621,0.0637
4yr,0.0754,0.0875,0.0550,0.0761,0.0735
5yr,0.0939,0.0946,0.0634,0.0697,0.0804
6yr,0.0883,0.0806,0.0789,0.0719,0.0799
7yr,0.1279,0.1071,0.0845,0.0794,0.0997
8yr,0.0997,0.0978,0.0766,0.0881,0.0906
9yr,0.1466,0.1306,0.0756,0.0913,0.1110
10yr,0.1006,0.0964,0.0874,0.1176,0.1005
11yr,0.1162,0.1168,0.0915,0.1149,0.1098
12yr,0.1148,0.1220,0.0962,0.1160,0.1123
13yr,0.1365,0.1229,0.0959,0.1204,0.1189
14yr,0.1097,0.1115,0.0857,0.1276,0.1086
15yr,0.1588,0.1265,0.0956,0.1433,0.1311
avg,0.1046,0.0986,0.0769,0.0923,0.0931
