old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4516,0.3592,0.5280,0.3158,0.4137
2yr,0.5459,0.4440,0.5195,0.4966,0.5015
3yr,0.3978,0.5565,0.5191,0.4259,0.4748
4yr,0.5760,0.6437,0.5240,0.5579,0.5754
5yr,0.6101,0.6716,0.4115,0.5219,0.5538
6yr,0.5701,0.6515,0.5223,0.5560,0.5750
7yr,0.7131,0.6281,0.6440,0.5829,0.6420
8yr,0.6067,0.6810,0.5792,0.5825,0.6124
9yr,0.6672,0.7095,0.6482,0.6271,0.6630
10yr,0.6228,0.7028,0.5215,0.6188,0.6165
11yr,0.6725,0.7265,0.5669,0.6492,0.6538
12yr,0.6684,0.6967,0.5471,0.6344,0.6366
13yr,0.7422,0.6871,0.6337,0.6408,0.6759
14yr,0.6796,0.7468,0.5951,0.5883,0.6525
15yr,0.6524,0.7282,0.6420,0.6306,0.6633
avg,0.6118,0.6422,0.5601,0.5619,0.5940
