old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.7596,0.8571,0.5714,0.8920,0.7700
2yr,0.6237,0.7666,0.5819,0.6725,0.6611
3yr,0.8223,0.5854,0.6446,0.7909,0.7108
4yr,0.5610,0.4286,0.5993,0.6028,0.5479
5yr,0.5331,0.3763,0.8084,0.6585,0.5941
6yr,0.6028,0.3519,0.6725,0.5958,0.5557
7yr,0.3659,0.5192,0.4111,0.5575,0.4634
8yr,0.5505,0.3624,0.5575,0.5784,0.5122
9yr,0.4878,0.3798,0.2892,0.4878,0.4111
10yr,0.5192,0.2753,0.6829,0.5505,0.5070
11yr,0.4390,0.2997,0.6132,0.4878,0.4599
12yr,0.4460,0.3937,0.6516,0.5192,0.5026
13yr,0.3101,0.4181,0.4843,0.5122,0.4312
14yr,0.4077,0.2056,0.5470,0.6098,0.4425
15yr,0.5226,0.3240,0.4634,0.5505,0.4652
avg,0.5301,0.4362,0.5719,0.6044,0.5357
