split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.661874,0.074493,0.552626,0.390244,0.041176,0.217424,0.609756
split_1+15,Old,undersampling,0.656319,0.061317,0.447364,0.236934,0.035215,0.155315,0.763066
split_1+15,Old,oversampling,0.597444,0.053947,0.358693,0.142857,0.033252,0.099375,0.857143
split_1+15,Old,hybrid,0.581860,0.053931,0.417140,0.205575,0.031036,0.153564,0.794425
split_1+15,New,none,0.814210,0.164786,0.672253,0.508711,0.098316,0.111630,0.491289
split_1+15,New,undersampling,0.831565,0.174571,0.725467,0.602787,0.102065,0.126886,0.397213
split_1+15,New,oversampling,0.779335,0.137093,0.651590,0.491289,0.079661,0.135807,0.508711
split_1+15,New,hybrid,0.828305,0.158153,0.697645,0.560976,0.092053,0.132388,0.439024
split_1+15,Retrain,none,0.838357,0.164545,0.712684,0.585366,0.095726,0.132305,0.414634
split_1+15,Retrain,undersampling,0.826597,0.202247,0.696716,0.533101,0.124796,0.089454,0.466899
split_1+15,Retrain,oversampling,0.779662,0.120231,0.667859,0.543554,0.067591,0.179408,0.456446
split_1+15,Retrain,hybrid,0.794062,0.130809,0.668123,0.529617,0.074620,0.157149,0.470383
