old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0366,0.0341,0.0285,0.0325,0.0329
2yr,0.0415,0.0347,0.0274,0.0307,0.0336
3yr,0.0374,0.0377,0.0340,0.0365,0.0364
4yr,0.0412,0.0474,0.0295,0.0421,0.0401
5yr,0.0522,0.0512,0.0380,0.0388,0.0450
6yr,0.0497,0.0430,0.0448,0.0395,0.0442
7yr,0.0711,0.0603,0.0455,0.0436,0.0551
8yr,0.0561,0.0530,0.0420,0.0492,0.0500
9yr,0.0856,0.0730,0.0399,0.0501,0.0622
10yr,0.0562,0.0516,0.0507,0.0676,0.0565
11yr,0.0648,0.0637,0.0519,0.0647,0.0613
12yr,0.0641,0.0678,0.0558,0.0660,0.0634
13yr,0.0757,0.0687,0.0528,0.0687,0.0665
14yr,0.0605,0.0600,0.0473,0.0762,0.0610
15yr,0.0953,0.0698,0.0525,0.0853,0.0757
avg,0.0592,0.0544,0.0427,0.0528,0.0523
