split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+15,Old,none,0.585299,0.053321,0.498398,0.829268,0.027546,0.700459,0.170732,0.556635,"{""d_block"": 256, ""dropout"": 0.0, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_1+15,Old,undersampling,0.642756,0.059349,0.578252,0.682927,0.031022,0.510379,0.317073,0.577159,"{""d_block"": 384, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_1+15,Old,oversampling,0.452426,0.038808,0.426929,0.592334,0.020061,0.692288,0.407666,0.561239,"{""d_block"": 256, ""d_embedding"": 8, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 0.0001}"
split_1+15,Old,hybrid,0.487975,0.036704,0.370824,0.170732,0.020562,0.194581,0.829268,0.572515,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.001, ""n_blocks"": 3, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_1+15,New,none,0.781477,0.147709,0.648386,0.477352,0.087372,0.119300,0.522648,0.754696,"{""d_block"": 384, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.003, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_1+15,New,undersampling,0.801364,0.149809,0.686803,0.547038,0.086788,0.137724,0.452962,0.747610,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_1+15,New,oversampling,0.795644,0.154146,0.510038,0.275261,0.107046,0.054940,0.724739,0.783150,"{""d_block"": 384, ""d_embedding"": 16, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.001}"
split_1+15,New,hybrid,0.813993,0.154306,0.634360,0.449477,0.093141,0.104710,0.550523,0.782071,"{""d_block"": 384, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.0005, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_1+15,Retrain,none,0.789661,0.156002,0.632778,0.445993,0.094535,0.102209,0.554007,0.746607,"{""d_block"": 512, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_1+15,Retrain,undersampling,0.799693,0.138696,0.668911,0.522648,0.079957,0.143893,0.477352,0.729044,"{""d_block"": 512, ""d_embedding"": 8, ""dropout"": 0.0, ""k"": 24, ""lr"": 0.002, ""n_blocks"": 2, ""use_num_embeddings"": true, ""weight_decay"": 1e-05}"
split_1+15,Retrain,oversampling,0.782256,0.150576,0.526760,0.296167,0.100950,0.063110,0.703833,0.775396,"{""d_block"": 256, ""dropout"": 0.1, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_1+15,Retrain,hybrid,0.804550,0.152982,0.589246,0.379791,0.095782,0.085786,0.620209,0.791931,"{""d_block"": 384, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_2+14,Old,none,0.578473,0.057824,0.547662,0.456446,0.030867,0.342893,0.543554,0.601715,"{""d_block"": 512, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.002, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 1e-05}"
split_2+14,Old,undersampling,0.655607,0.066977,0.608732,0.627178,0.035377,0.409170,0.372822,0.610893,"{""d_block"": 384, ""dropout"": 0.2, ""k"": 32, ""lr"": 0.0005, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_2+14,Old,oversampling,0.480500,0.046564,0.354670,0.142857,0.027815,0.119466,0.857143,0.623590,"{""d_block"": 256, ""dropout"": 0.3, ""k"": 24, ""lr"": 0.0005, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0003}"
split_2+14,Old,hybrid,0.534114,0.052189,0.316512,0.108014,0.034406,0.072530,0.891986,0.640699,"{""d_block"": 384, ""d_embedding"": 8, ""dropout"": 0.3, ""k"": 16, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": true, ""weight_decay"": 0.0003}"
split_2+14,New,none,0.805993,0.123667,0.698099,0.606272,0.068856,0.196165,0.393728,0.746676,"{""d_block"": 256, ""dropout"": 0.1, ""k"": 24, ""lr"": 0.001, ""n_blocks"": 4, ""use_num_embeddings"": false, ""weight_decay"": 0.0001}"
split_2+14,New,undersampling,0.795815,0.131703,0.693457,0.581882,0.074255,0.173572,0.418118,0.744063,"{""d_block"": 384, ""dropout"": 0.1, ""k"": 32, ""lr"": 0.0005, ""n_blocks"": 3, ""use_num_embeddings"": false, ""weight_decay"": 0.001}"
