new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6484,0.6868,0.5100,0.6344,0.6199
14yr,0.6981,0.6935,0.5468,0.6370,0.6438
13yr,0.6935,0.6257,0.6181,0.6821,0.6549
12yr,0.6921,0.6995,0.6414,0.6951,0.6820
11yr,0.6694,0.6532,0.7024,0.6949,0.6800
10yr,0.6604,0.6370,0.6140,0.6904,0.6504
9yr,0.6999,0.6674,0.6138,0.6227,0.6510
8yr,0.6878,0.5458,0.6040,0.6181,0.6139
7yr,0.5128,0.6627,0.6059,0.6278,0.6023
6yr,0.6539,0.6345,0.5982,0.5879,0.6186
5yr,0.6724,0.5389,0.5940,0.6436,0.6122
4yr,0.5411,0.5574,0.6370,0.5669,0.5756
3yr,0.5676,0.5894,0.6352,0.6827,0.6187
2yr,0.5474,0.4936,0.4592,0.5310,0.5078
1yr,0.5411,0.5474,0.4736,0.5832,0.5363
avg,0.6324,0.6155,0.5902,0.6332,0.6178
