old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4984,0.5783,0.4269,0.3708,0.4686
2yr,0.5477,0.6087,0.3547,0.3165,0.4569
3yr,0.4281,0.5988,0.4252,0.3957,0.4619
4yr,0.4734,0.5424,0.3930,0.4216,0.4576
5yr,0.5766,0.5083,0.3934,0.4310,0.4773
6yr,0.6111,0.4615,0.4361,0.3200,0.4572
7yr,0.4655,0.5507,0.3801,0.4013,0.4494
8yr,0.5391,0.6025,0.4960,0.4806,0.5296
9yr,0.5464,0.6005,0.4530,0.4917,0.5229
10yr,0.6426,0.5622,0.4965,0.4925,0.5485
11yr,0.6658,0.6741,0.5398,0.5887,0.6171
12yr,0.6076,0.5912,0.5239,0.5470,0.5674
13yr,0.6731,0.6026,0.5749,0.5097,0.5901
14yr,0.6585,0.6649,0.5505,0.5927,0.6167
15yr,0.6571,0.6773,0.5833,0.6390,0.6392
avg,0.5727,0.5883,0.4685,0.4666,0.5240
