old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0275,0.0310,0.0201,0.0206,0.0248
2yr,0.0309,0.0354,0.0278,0.0344,0.0321
3yr,0.0433,0.0336,0.0242,0.0282,0.0323
4yr,0.0375,0.0416,0.0355,0.0350,0.0374
5yr,0.0332,0.0288,0.0359,0.0388,0.0342
6yr,0.0433,0.0409,0.0327,0.0316,0.0371
7yr,0.0422,0.0402,0.0322,0.0334,0.0370
8yr,0.0521,0.0397,0.0385,0.0441,0.0436
9yr,0.0611,0.0460,0.0486,0.0478,0.0509
10yr,0.0438,0.0605,0.0593,0.0628,0.0566
11yr,0.0527,0.0517,0.0585,0.0552,0.0545
12yr,0.0640,0.0668,0.0567,0.0706,0.0645
13yr,0.0629,0.0740,0.0689,0.0783,0.0710
14yr,0.0684,0.0713,0.0725,0.0856,0.0744
15yr,0.0687,0.0838,0.1010,0.0854,0.0847
avg,0.0488,0.0497,0.0475,0.0501,0.0490
