old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.8293,0.6829,0.5923,0.1707,0.5688
2yr,0.4564,0.6272,0.1429,0.1080,0.3336
3yr,0.2056,0.6481,0.2334,0.1847,0.3179
4yr,0.2683,0.3693,0.1742,0.2056,0.2544
5yr,0.5226,0.8746,0.1742,0.2125,0.4460
6yr,0.5122,0.2474,0.2265,0.1115,0.2744
7yr,0.2509,0.3902,0.1638,0.1847,0.2474
8yr,0.3415,0.5192,0.2997,0.2683,0.3571
9yr,0.3415,0.4704,0.2300,0.2787,0.3301
10yr,0.6028,0.3659,0.2753,0.2683,0.3780
11yr,0.5958,0.6272,0.3345,0.4181,0.4939
12yr,0.4355,0.4042,0.3136,0.3345,0.3720
13yr,0.5679,0.4146,0.3763,0.2822,0.4103
14yr,0.5226,0.5296,0.3380,0.3902,0.4451
15yr,0.5192,0.5331,0.3693,0.4634,0.4713
avg,0.4648,0.5136,0.2829,0.2588,0.3800
