split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_2+14,Old,none,0.487796,0.010554,0.083165,0.006969,0.021739,0.007503,0.993031
split_2+14,Old,undersampling,0.536189,0.005556,0.058851,0.003484,0.013699,0.006003,0.996516
split_2+14,Old,oversampling,0.519405,0.043398,0.376886,0.780488,0.022320,0.818008,0.219512
split_2+14,Old,hybrid,0.613527,0.045816,0.257390,0.933798,0.023484,0.929054,0.066202
split_2+14,Old+New,none,0.745805,0.013423,0.083447,0.006969,0.181818,0.000750,0.993031
split_2+14,Old+New,undersampling,0.747388,0.006780,0.059011,0.003484,0.125000,0.000584,0.996516
split_2+14,Old+New,oversampling,0.769449,0.070099,0.623005,0.898955,0.036472,0.568237,0.101045
split_2+14,Old+New,hybrid,0.775100,0.072606,0.640067,0.874564,0.037875,0.531555,0.125436
split_2+14,New,none,0.747669,0.025641,0.117953,0.013937,0.160000,0.001751,0.986063
split_2+14,New,undersampling,0.748442,0.000000,0.000000,0.000000,0.000000,0.000167,1.000000
split_2+14,New,oversampling,0.763397,0.082506,0.673005,0.738676,0.043693,0.386828,0.261324
split_2+14,New,hybrid,0.770835,0.059995,0.538483,0.912892,0.031017,0.682368,0.087108
split_4+12,Old,none,0.665754,0.000000,0.000000,0.000000,0.000000,0.000417,1.000000
split_4+12,Old,undersampling,0.565099,0.000000,0.000000,0.000000,0.000000,0.001667,1.000000
split_4+12,Old,oversampling,0.577393,0.049304,0.457292,0.808362,0.025427,0.741309,0.191638
split_4+12,Old,hybrid,0.639702,0.047148,0.329896,0.912892,0.024199,0.880784,0.087108
split_4+12,Old+New,none,0.734819,0.013201,0.083430,0.006969,0.125000,0.001167,0.993031
split_4+12,Old+New,undersampling,0.759648,0.000000,0.000000,0.000000,0.000000,0.000250,1.000000
split_4+12,Old+New,oversampling,0.756553,0.059459,0.540393,0.891986,0.030754,0.672614,0.108014
split_4+12,Old+New,hybrid,0.774637,0.061872,0.550090,0.933798,0.031996,0.675948,0.066202
split_4+12,New,none,0.719746,0.013029,0.083416,0.006969,0.100000,0.001501,0.993031
split_4+12,New,undersampling,0.721522,0.032468,0.131903,0.017422,0.238095,0.001334,0.982578
split_4+12,New,oversampling,0.775409,0.070372,0.625149,0.895470,0.036625,0.563568,0.104530
split_4+12,New,hybrid,0.807554,0.066553,0.586512,0.954704,0.034478,0.639683,0.045296
split_6+10,Old,none,0.662551,0.000000,0.000000,0.000000,0.000000,0.002001,1.000000
split_6+10,Old,undersampling,0.634263,0.026403,0.117997,0.013937,0.250000,0.001000,0.986063
split_6+10,Old,oversampling,0.589670,0.053151,0.521639,0.759582,0.027539,0.641767,0.240418
split_6+10,Old,hybrid,0.597139,0.051363,0.488951,0.797909,0.026535,0.700375,0.202091
split_6+10,Old+New,none,0.760136,0.020067,0.102201,0.010453,0.250000,0.000750,0.989547
split_6+10,Old+New,undersampling,0.775564,0.048193,0.166699,0.027875,0.177778,0.003085,0.972125
split_6+10,Old+New,oversampling,0.757985,0.062965,0.574159,0.885017,0.032644,0.627511,0.114983
split_6+10,Old+New,hybrid,0.792072,0.059372,0.509642,0.965157,0.030628,0.730888,0.034843
split_6+10,New,none,0.735973,0.040678,0.144577,0.020906,0.750000,0.000167,0.979094
split_6+10,New,undersampling,0.771334,0.062893,0.186500,0.034843,0.322581,0.001751,0.965157
split_6+10,New,oversampling,0.747356,0.061963,0.563828,0.891986,0.032096,0.643602,0.108014
split_6+10,New,hybrid,0.797746,0.063972,0.564616,0.951220,0.033099,0.664860,0.048780
split_8+8,Old,none,0.645556,0.000000,0.000000,0.000000,0.000000,0.001000,1.000000
split_8+8,Old,undersampling,0.667964,0.006667,0.058999,0.003484,0.076923,0.001000,0.996516
split_8+8,Old,oversampling,0.707122,0.073579,0.645596,0.766551,0.038644,0.456273,0.233449
split_8+8,Old,hybrid,0.706140,0.059112,0.547116,0.860627,0.030607,0.652188,0.139373
split_8+8,Old+New,none,0.783512,0.037152,0.144408,0.020906,0.166667,0.002501,0.979094
split_8+8,Old+New,undersampling,0.759274,0.042683,0.155952,0.024390,0.170732,0.002835,0.975610
split_8+8,Old+New,oversampling,0.762917,0.069310,0.618426,0.895470,0.036050,0.572905,0.104530
split_8+8,Old+New,hybrid,0.758652,0.060982,0.538475,0.940767,0.031513,0.691788,0.059233
split_8+8,New,none,0.769742,0.133333,0.288586,0.083624,0.328767,0.004085,0.916376
split_8+8,New,undersampling,0.743362,0.083832,0.220559,0.048780,0.297872,0.002751,0.951220
split_8+8,New,oversampling,0.777192,0.070638,0.623117,0.923345,0.036724,0.579491,0.076655
split_8+8,New,hybrid,0.792928,0.074735,0.651676,0.860627,0.039064,0.506544,0.139373
split_10+6,Old,none,0.712970,0.000000,0.000000,0.000000,0.000000,0.000584,1.000000
split_10+6,Old,undersampling,0.697679,0.006757,0.059008,0.003484,0.111111,0.000667,0.996516
split_10+6,Old,oversampling,0.720734,0.057498,0.507837,0.919861,0.029676,0.719633,0.080139
split_10+6,Old,hybrid,0.748703,0.052671,0.383418,0.989547,0.027055,0.851438,0.010453
split_10+6,Old+New,none,0.740952,0.020134,0.102206,0.010453,0.272727,0.000667,0.989547
split_10+6,Old+New,undersampling,0.743345,0.006780,0.059011,0.003484,0.125000,0.000584,0.996516
split_10+6,Old+New,oversampling,0.761372,0.065334,0.591978,0.888502,0.033914,0.605586,0.111498
split_10+6,Old+New,hybrid,0.794345,0.060851,0.524234,0.972125,0.031408,0.717299,0.027875
split_10+6,New,none,0.691851,0.046205,0.156115,0.024390,0.437500,0.000750,0.975610
split_10+6,New,undersampling,0.667935,0.050794,0.166818,0.027875,0.285714,0.001667,0.972125
split_10+6,New,oversampling,0.756321,0.072108,0.637596,0.871080,0.037611,0.533306,0.128920
