split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.426578,0.041164,0.340384,0.766551,0.021150,0.848854,0.233449
split_1+15,Old,undersampling,0.606300,0.064269,0.582438,0.526132,0.034225,0.355231,0.473868
split_1+15,Old,oversampling,0.497496,0.052562,0.354243,0.139373,0.032389,0.099625,0.860627
split_1+15,Old,hybrid,0.530739,0.053254,0.449251,0.250871,0.029789,0.195498,0.749129
split_1+15,New,none,0.771952,0.141423,0.679174,0.540070,0.081365,0.145894,0.459930
split_1+15,New,undersampling,0.772141,0.131859,0.683902,0.560976,0.074710,0.166236,0.439024
split_1+15,New,oversampling,0.736324,0.134684,0.593109,0.393728,0.081237,0.106544,0.606272
split_1+15,New,hybrid,0.755182,0.110553,0.657027,0.536585,0.061625,0.195498,0.463415
split_1+15,Retrain,none,0.764684,0.117947,0.675515,0.564460,0.065854,0.191580,0.435540
split_1+15,Retrain,undersampling,0.780596,0.114476,0.687094,0.599303,0.063282,0.212255,0.400697
split_1+15,Retrain,oversampling,0.725141,0.116267,0.577029,0.379791,0.068640,0.123301,0.620209
split_1+15,Retrain,hybrid,0.755436,0.123389,0.631460,0.466899,0.071088,0.145977,0.533101
split_1+15,Finetune,none,0.772663,0.116683,0.697494,0.620209,0.064399,0.215590,0.379791
split_1+15,Finetune,undersampling,0.770280,0.119889,0.693450,0.602787,0.066564,0.202251,0.397213
split_1+15,Finetune,oversampling,0.756233,0.128601,0.616371,0.435540,0.075438,0.127720,0.564460
split_1+15,Finetune,hybrid,0.768514,0.123427,0.663514,0.529617,0.069853,0.168737,0.470383
split_2+14,Old,none,0.627832,0.070248,0.581045,0.473868,0.037936,0.287536,0.526132
split_2+14,Old,undersampling,0.455956,0.045866,0.495304,0.609756,0.023829,0.597666,0.390244
split_2+14,Old,oversampling,0.480994,0.034179,0.315499,0.114983,0.020073,0.134306,0.885017
split_2+14,Old,hybrid,0.520455,0.048039,0.382724,0.170732,0.027952,0.142059,0.829268
split_2+14,New,none,0.780854,0.118638,0.676072,0.564460,0.066285,0.190246,0.435540
split_2+14,New,undersampling,0.775263,0.140099,0.680229,0.543554,0.080412,0.148729,0.456446
split_2+14,New,oversampling,0.746214,0.132321,0.611746,0.425087,0.078356,0.119633,0.574913
split_2+14,New,hybrid,0.758970,0.120548,0.664844,0.536585,0.067901,0.176240,0.463415
