metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6141,0.6848,0.5826,0.6897
AUC,New,0.7877,0.7817,0.7612,0.7639
AUC,Retrain,0.7548,0.7748,0.7214,0.7727
AUC,Finetune,0.7867,0.7759,0.7713,0.7768
F1,Old,0.0701,0.0846,0.0645,0.0855
F1,New,0.1868,0.1878,0.1764,0.1770
F1,Retrain,0.1329,0.1263,0.1176,0.1286
F1,Finetune,0.1792,0.1910,0.1588,0.1859
G_Mean,Old,0.5265,0.6150,0.4830,0.6237
G_Mean,New,0.6240,0.6263,0.5990,0.6190
G_Mean,Retrain,0.6293,0.6792,0.5887,0.6751
G_Mean,Finetune,0.6282,0.6164,0.5867,0.6132
Recall,Old,0.3664,0.5251,0.2947,0.5450
Recall,New,0.4286,0.4380,0.3932,0.4355
Recall,Retrain,0.4584,0.5620,0.3987,0.5530
Recall,Finetune,0.4455,0.4176,0.3833,0.4246
Precision,Old,0.0390,0.0463,0.0364,0.0466
Precision,New,0.1242,0.1279,0.1181,0.1203
Precision,Retrain,0.0783,0.0712,0.0691,0.0731
Precision,Finetune,0.1199,0.1298,0.1070,0.1330
