old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.7727,0.7703,0.7562,0.7685,0.7669
2+14,0.7725,0.7756,0.7379,0.7662,0.7631
3+13,0.7783,0.7821,0.7505,0.7735,0.7711
4+12,0.7756,0.7753,0.7609,0.7724,0.7710
5+11,0.7828,0.7804,0.7632,0.7787,0.7763
6+10,0.7800,0.7811,0.7799,0.7858,0.7817
7+9,0.7840,0.7848,0.7731,0.7862,0.7820
8+8,0.7777,0.7732,0.7748,0.7874,0.7783
9+7,0.7777,0.7763,0.7807,0.7957,0.7826
10+6,0.7723,0.7761,0.7832,0.7976,0.7823
11+5,0.7912,0.7787,0.7972,0.7968,0.7910
12+4,0.7669,0.7882,0.7854,0.7940,0.7836
13+3,0.7908,0.7825,0.7876,0.7871,0.7870
14+2,0.7617,0.7654,0.7712,0.7861,0.7711
15+1,0.7589,0.7804,0.7645,0.7741,0.7695
avg,0.7762,0.7780,0.7711,0.7833,0.7772
