old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4266,0.6063,0.4975,0.5307,0.5153
2yr,0.6278,0.4560,0.4810,0.5205,0.5213
3yr,0.5711,0.6115,0.4893,0.5234,0.5488
4yr,0.6517,0.6265,0.4919,0.5206,0.5727
5yr,0.6751,0.6659,0.5128,0.5537,0.6019
6yr,0.6567,0.6496,0.5267,0.5684,0.6003
7yr,0.6502,0.6463,0.5565,0.5960,0.6123
8yr,0.6957,0.6969,0.6055,0.6246,0.6557
9yr,0.7091,0.6738,0.6266,0.6436,0.6633
10yr,0.7415,0.7405,0.6540,0.6890,0.7062
11yr,0.7450,0.7464,0.6740,0.6968,0.7155
12yr,0.7462,0.7513,0.6698,0.7094,0.7192
13yr,0.7513,0.7458,0.6830,0.7037,0.7210
14yr,0.7597,0.7618,0.7146,0.7441,0.7450
15yr,0.7566,0.7691,0.7155,0.7450,0.7465
avg,0.6776,0.6765,0.5932,0.6246,0.6430
