old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6975,0.6935,0.6164,0.6635,0.6677
2+14,0.6929,0.6927,0.5810,0.6463,0.6532
3+13,0.6948,0.6994,0.6323,0.6717,0.6746
4+12,0.6941,0.6895,0.6494,0.6883,0.6804
5+11,0.6970,0.6935,0.6565,0.6844,0.6829
6+10,0.6887,0.6945,0.6734,0.6838,0.6851
7+9,0.6889,0.6944,0.6745,0.6763,0.6835
8+8,0.6901,0.6889,0.6612,0.6893,0.6824
9+7,0.6922,0.6798,0.6777,0.6957,0.6864
10+6,0.6890,0.6956,0.6719,0.7048,0.6903
11+5,0.7028,0.6966,0.7036,0.7130,0.7040
12+4,0.6959,0.6997,0.6838,0.6975,0.6942
13+3,0.7037,0.6993,0.6852,0.6872,0.6938
14+2,0.6583,0.6837,0.6291,0.6920,0.6658
15+1,0.6627,0.7040,0.6010,0.6619,0.6574
avg,0.6899,0.6937,0.6531,0.6837,0.6801
