old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0644,0.0666,0.0754,0.0699,0.0691
2+14,0.0594,0.0600,0.0756,0.0777,0.0682
3+13,0.0573,0.0622,0.0608,0.0610,0.0603
4+12,0.0650,0.0613,0.0665,0.0651,0.0645
5+11,0.0552,0.0689,0.0718,0.0678,0.0659
6+10,0.0729,0.0652,0.0786,0.0784,0.0738
7+9,0.0602,0.0722,0.0663,0.0630,0.0654
8+8,0.0538,0.0534,0.0729,0.0680,0.0620
9+7,0.0613,0.0540,0.0640,0.0671,0.0616
10+6,0.0588,0.0571,0.0682,0.0693,0.0634
11+5,0.0770,0.0542,0.0685,0.0647,0.0661
12+4,0.0532,0.0713,0.0746,0.0735,0.0682
13+3,0.0685,0.0737,0.0743,0.0763,0.0732
14+2,0.0839,0.0713,0.0791,0.0689,0.0758
15+1,0.0792,0.0593,0.0887,0.0834,0.0776
avg,0.0647,0.0634,0.0724,0.0703,0.0677
