new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0814,0.0747,0.0812,0.0616,0.0747
14yr,0.0663,0.0804,0.0784,0.0679,0.0732
13yr,0.0740,0.0681,0.0947,0.0671,0.0760
12yr,0.0979,0.0888,0.1072,0.0900,0.0960
11yr,0.1395,0.1264,0.0988,0.0958,0.1151
10yr,0.1383,0.1215,0.0969,0.1139,0.1176
9yr,0.1123,0.1244,0.0952,0.1018,0.1084
8yr,0.1606,0.1580,0.1228,0.1406,0.1455
7yr,0.1342,0.1910,0.0890,0.1779,0.1480
6yr,0.2009,0.1417,0.1490,0.1693,0.1652
5yr,0.1634,0.1800,0.1789,0.1950,0.1793
4yr,0.1636,0.1392,0.1544,0.1503,0.1519
3yr,0.1436,0.1028,0.1075,0.1260,0.1200
2yr,0.1253,0.1162,0.1468,0.1667,0.1388
1yr,0.1368,0.1528,0.1759,0.1392,0.1512
avg,0.1292,0.1244,0.1185,0.1242,0.1241
