old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0211,0.0342,0.0324,0.0298,0.0294
2yr,0.0379,0.0238,0.0201,0.0280,0.0274
3yr,0.0269,0.0275,0.0217,0.0279,0.0260
4yr,0.0369,0.0348,0.0214,0.0282,0.0303
5yr,0.0379,0.0443,0.0284,0.0359,0.0367
6yr,0.0412,0.0420,0.0265,0.0338,0.0359
7yr,0.0442,0.0426,0.0323,0.0371,0.0390
8yr,0.0487,0.0479,0.0379,0.0414,0.0440
9yr,0.0472,0.0441,0.0384,0.0397,0.0424
10yr,0.0537,0.0522,0.0475,0.0462,0.0499
11yr,0.0510,0.0498,0.0551,0.0532,0.0523
12yr,0.0543,0.0728,0.0495,0.0541,0.0577
13yr,0.0625,0.0573,0.0563,0.0548,0.0577
14yr,0.0626,0.0733,0.0795,0.0730,0.0721
15yr,0.0789,0.0611,0.0674,0.0804,0.0719
avg,0.0470,0.0472,0.0410,0.0442,0.0448
