new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5401,0.5610,0.3937,0.5366,0.5078
14yr,0.5645,0.5436,0.4251,0.5366,0.5174
13yr,0.5679,0.5993,0.3624,0.5540,0.5209
12yr,0.5436,0.5645,0.4077,0.4808,0.4991
11yr,0.4564,0.4739,0.4146,0.5366,0.4704
10yr,0.4530,0.4355,0.4530,0.4808,0.4556
9yr,0.4948,0.3902,0.4564,0.5261,0.4669
8yr,0.3972,0.4007,0.4355,0.4599,0.4233
7yr,0.4460,0.3554,0.4390,0.3763,0.4042
6yr,0.3275,0.4216,0.3728,0.4146,0.3841
5yr,0.3728,0.3693,0.3554,0.3275,0.3563
4yr,0.3693,0.3798,0.3728,0.4321,0.3885
3yr,0.3798,0.3728,0.4530,0.4495,0.4138
2yr,0.3240,0.3345,0.3310,0.2927,0.3206
1yr,0.3380,0.3206,0.2544,0.3763,0.3223
avg,0.4383,0.4348,0.3951,0.4520,0.4301
