old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.7666,0.5261,0.1394,0.2509,0.4207
2yr,0.4739,0.6098,0.1150,0.1707,0.3423
3yr,0.7840,0.7979,0.1254,0.2369,0.4861
4yr,0.5540,0.4983,0.2439,0.2265,0.3807
5yr,0.6028,0.5017,0.1463,0.2369,0.3720
6yr,0.5157,0.4739,0.2857,0.2683,0.3859
7yr,0.4355,0.4599,0.2822,0.3798,0.3894
8yr,0.5610,0.5714,0.3763,0.3798,0.4721
9yr,0.5889,0.5366,0.4460,0.4948,0.5166
10yr,0.5819,0.6167,0.4042,0.5226,0.5314
11yr,0.6202,0.6551,0.3554,0.4460,0.5192
12yr,0.6202,0.4878,0.4077,0.4669,0.4956
13yr,0.5505,0.5610,0.4007,0.4808,0.4983
14yr,0.5470,0.5436,0.3589,0.4774,0.4817
15yr,0.5017,0.5889,0.4007,0.4530,0.4861
avg,0.5803,0.5619,0.2992,0.3661,0.4519
