new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1459,0.1662,0.1065,0.1955,0.1535
14yr,0.1902,0.1487,0.1196,0.1762,0.1587
13yr,0.1702,0.1962,0.0829,0.1844,0.1584
12yr,0.1199,0.1386,0.0812,0.1163,0.1140
11yr,0.0674,0.0784,0.0905,0.1212,0.0893
10yr,0.0675,0.0754,0.1010,0.0895,0.0833
9yr,0.0935,0.0657,0.1038,0.1111,0.0935
8yr,0.0497,0.0511,0.0744,0.0673,0.0606
7yr,0.0689,0.0360,0.1075,0.0416,0.0635
6yr,0.0312,0.0611,0.0509,0.0487,0.0480
5yr,0.0457,0.0403,0.0390,0.0323,0.0393
4yr,0.0452,0.0562,0.0489,0.0584,0.0522
3yr,0.0542,0.0779,0.0900,0.0746,0.0742
2yr,0.0541,0.0609,0.0460,0.0350,0.0490
1yr,0.0510,0.0425,0.0285,0.0557,0.0444
avg,0.0836,0.0863,0.0780,0.0939,0.0855
