old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.3798,0.3972,0.5645,0.4704,0.4530
2+14,0.3693,0.3728,0.6202,0.5157,0.4695
3+13,0.3519,0.3659,0.5122,0.4286,0.4146
4+12,0.3902,0.3868,0.4913,0.4042,0.4181
5+11,0.3310,0.4042,0.4878,0.4216,0.4111
6+10,0.4251,0.3902,0.4669,0.4460,0.4321
7+9,0.3833,0.4111,0.4390,0.4251,0.4146
8+8,0.3415,0.3415,0.4808,0.4111,0.3937
9+7,0.3798,0.3728,0.4251,0.3937,0.3929
10+6,0.3763,0.3484,0.4495,0.3798,0.3885
11+5,0.4042,0.3240,0.3798,0.3415,0.3624
12+4,0.3171,0.3972,0.4390,0.4077,0.3902
13+3,0.3798,0.4042,0.4355,0.4355,0.4138
14+2,0.5017,0.4321,0.5470,0.4077,0.4721
15+1,0.4878,0.3380,0.5993,0.4948,0.4800
avg,0.3879,0.3791,0.4892,0.4256,0.4204
