old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2334,0.4739,0.8606,0.7491,0.5793
2yr,0.5261,0.3902,0.8850,0.8293,0.6577
3yr,0.2160,0.2021,0.8746,0.7631,0.5139
4yr,0.4460,0.5017,0.7561,0.7735,0.6193
5yr,0.3972,0.4983,0.8537,0.7631,0.6280
6yr,0.4843,0.5261,0.7143,0.7317,0.6141
7yr,0.5645,0.5401,0.7178,0.6202,0.6106
8yr,0.4390,0.4286,0.6237,0.6202,0.5279
9yr,0.4111,0.4634,0.5540,0.5052,0.4834
10yr,0.4181,0.3833,0.5958,0.4774,0.4686
11yr,0.3798,0.3449,0.6446,0.5540,0.4808
12yr,0.3798,0.5122,0.5923,0.5331,0.5044
13yr,0.4495,0.4390,0.5993,0.5192,0.5017
14yr,0.4530,0.4564,0.6411,0.5226,0.5183
15yr,0.4983,0.4111,0.5993,0.5470,0.5139
avg,0.4197,0.4381,0.7008,0.6339,0.5481
