split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.538065,0.051640,0.451656,0.257840,0.028693,0.208837,0.742160
split_1+15,Old,undersampling,0.535283,0.057175,0.509555,0.351916,0.031115,0.262193,0.648084
split_1+15,Old,oversampling,0.557664,0.053944,0.525507,0.414634,0.028848,0.333972,0.585366
split_1+15,Old,hybrid,0.557317,0.056776,0.528016,0.400697,0.030553,0.304210,0.599303
split_1+15,New,none,0.822690,0.201471,0.663403,0.477352,0.127679,0.078033,0.522648
split_1+15,New,undersampling,0.824863,0.198047,0.673290,0.494774,0.123801,0.083785,0.505226
split_1+15,New,oversampling,0.780163,0.130558,0.642752,0.480836,0.075534,0.140809,0.519164
split_1+15,New,hybrid,0.820399,0.158329,0.666095,0.501742,0.093995,0.115715,0.498258
split_1+15,Retrain,none,0.811450,0.183792,0.637807,0.442509,0.115982,0.080700,0.557491
split_1+15,Retrain,undersampling,0.800200,0.189145,0.611150,0.400697,0.123789,0.067862,0.599303
split_1+15,Retrain,oversampling,0.764183,0.130825,0.669853,0.533101,0.074561,0.158316,0.466899
split_1+15,Retrain,hybrid,0.815113,0.169345,0.655618,0.477352,0.102930,0.099541,0.522648
split_1+15,Finetune,none,0.709086,0.123589,0.593261,0.400697,0.073062,0.121634,0.599303
split_1+15,Finetune,undersampling,0.702044,0.128894,0.606136,0.418118,0.076190,0.121301,0.581882
split_1+15,Finetune,oversampling,0.729123,0.120504,0.620353,0.449477,0.069579,0.143810,0.550523
split_1+15,Finetune,hybrid,0.763103,0.130089,0.629058,0.456446,0.075854,0.133055,0.543554
split_2+14,Old,none,0.533856,0.050521,0.505674,0.379791,0.027061,0.326719,0.620209
split_2+14,Old,undersampling,0.548252,0.063854,0.414933,0.195122,0.038173,0.117632,0.804878
split_2+14,Old,oversampling,0.570736,0.054229,0.438461,0.233449,0.030678,0.176490,0.766551
split_2+14,Old,hybrid,0.634153,0.071364,0.558282,0.411150,0.039073,0.241934,0.588850
split_2+14,New,none,0.806065,0.199067,0.643124,0.445993,0.128128,0.072614,0.554007
split_2+14,New,undersampling,0.813530,0.200161,0.634217,0.432056,0.130252,0.069029,0.567944
split_2+14,New,oversampling,0.782794,0.157396,0.643700,0.463415,0.094797,0.105877,0.536585
split_2+14,New,hybrid,0.820502,0.173238,0.672989,0.505226,0.104542,0.103543,0.494774
split_2+14,Finetune,none,0.727426,0.131092,0.600608,0.407666,0.078104,0.115131,0.592334
split_2+14,Finetune,undersampling,0.768300,0.136344,0.674729,0.536585,0.078093,0.151563,0.463415
split_2+14,Finetune,oversampling,0.752076,0.134946,0.577119,0.369338,0.082555,0.098208,0.630662
split_2+14,Finetune,hybrid,0.795385,0.143116,0.685279,0.550523,0.082249,0.146978,0.449477
split_3+13,Old,none,0.540920,0.048608,0.379975,0.167247,0.028436,0.136724,0.832753
split_3+13,Old,undersampling,0.560213,0.052142,0.302304,0.097561,0.035578,0.063276,0.902439
split_3+13,Old,oversampling,0.575457,0.055404,0.541562,0.459930,0.029477,0.362318,0.540070
