metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6945,0.6567,0.6536,0.6628
AUC,New,0.8315,0.8438,0.8003,0.8397
AUC,Retrain,0.8151,0.8114,0.7642,0.8002
AUC,Finetune,0.8233,0.7932,0.7848,0.8004
F1,Old,0.1023,0.0987,0.0846,0.1046
F1,New,0.2125,0.2473,0.1898,0.2430
F1,Retrain,0.1693,0.1838,0.1308,0.1891
F1,Finetune,0.1696,0.1808,0.1514,0.1800
G_Mean,Old,0.5840,0.5145,0.5563,0.5106
G_Mean,New,0.6753,0.6380,0.6199,0.6315
G_Mean,Retrain,0.6556,0.6378,0.6699,0.6112
G_Mean,Finetune,0.7000,0.6425,0.6679,0.6640
Recall,Old,0.4160,0.3136,0.3930,0.3064
Recall,New,0.4973,0.4348,0.4195,0.4230
Recall,Retrain,0.4774,0.4425,0.5331,0.4007
Recall,Finetune,0.5621,0.4553,0.5152,0.4908
Precision,Old,0.0587,0.0594,0.0478,0.0637
Precision,New,0.1373,0.1843,0.1266,0.1762
Precision,Retrain,0.1029,0.1160,0.0746,0.1238
Precision,Finetune,0.1004,0.1136,0.0894,0.1112
