old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.7091,0.7020,0.7291,0.7631,0.7258
2+14,0.7274,0.7683,0.7521,0.7954,0.7608
3+13,0.7189,0.7672,0.7412,0.7921,0.7549
4+12,0.7621,0.7571,0.7469,0.8065,0.7682
5+11,0.7344,0.7861,0.7702,0.7962,0.7717
6+10,0.8027,0.7592,0.7799,0.8182,0.7900
7+9,0.7887,0.7956,0.7867,0.8249,0.7990
8+8,0.8162,0.8107,0.7948,0.8331,0.8137
9+7,0.8321,0.8270,0.7941,0.8391,0.8231
10+6,0.8338,0.8057,0.8071,0.8489,0.8239
11+5,0.8321,0.8397,0.8019,0.8402,0.8285
12+4,0.8328,0.8386,0.8253,0.8486,0.8364
13+3,0.8325,0.8503,0.8304,0.8555,0.8422
14+2,0.8364,0.8426,0.8104,0.8465,0.8340
avg,0.7899,0.7964,0.7836,0.8220,0.7980
