old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1236,0.1289,0.1205,0.1301,0.1258
2+14,0.1311,0.1363,0.1349,0.1431,0.1364
3+13,0.1390,0.1529,0.1185,0.1307,0.1352
4+12,0.1600,0.1480,0.1288,0.1621,0.1497
5+11,0.1468,0.1625,0.1397,0.1782,0.1568
6+10,0.1975,0.1670,0.1468,0.1827,0.1735
7+9,0.1915,0.1734,0.1508,0.1665,0.1706
8+8,0.1862,0.2104,0.1377,0.1964,0.1827
9+7,0.2132,0.1685,0.1657,0.1842,0.1829
10+6,0.2050,0.1775,0.1718,0.1768,0.1828
11+5,0.1751,0.1985,0.1488,0.1749,0.1743
12+4,0.2121,0.2491,0.1904,0.1896,0.2103
13+3,0.2271,0.2169,0.2075,0.1991,0.2127
14+2,0.1904,0.1852,0.1597,0.1862,0.1804
15+1,0.2130,0.2244,0.1495,0.1435,0.1826
avg,0.1808,0.1800,0.1514,0.1696,0.1704
